attribute_id,place
Zurich_a69,"Zurich, Switzerland"
Zurich_a70,"Zurich, Switzerland"
Zurich_a71,"Zurich, Switzerland"
Zurich_a72,"Zurich, Switzerland"
Zurich_a73,"Zurich, Switzerland"
Zurich_a74,"Zurich, Switzerland"
Zurich_a82,"districts of Zurich, Bülach, Dielsdorf, Horgen, and Uster"
Zurich_a82,cantons of Aargau and Zug
Zurich_a83,"Alsace, France"
Zurich_a84,"Rafzerfeld, Switzerland"
Zurich_a84,"Schaffhausen, Switzerland"
Zurich_a85,"Hirschengraben, Zurich, Switzerland"
Zurich_a86,the 9 alcohol-free establishments of the Women’s Association for Temperance and Public Welfare
Zurich_a87,the 9 alcohol-free establishments of the Women’s Association for Temperance and Public Welfare
Zurich_a88,the 9 alcohol-free establishments of the Women’s Association for Temperance and Public Welfare
Zurich_a89,"Zurich, Switzerland"
Zurich_a89,the city district
Zurich_a90,"Zurich, Switzerland"
Zurich_a90,the city district
Zurich_a92,"Platzspitz, Zurich, Switzerland"
Zurich_a93,"Limmat River, Zurich, Switzerland"
Zurich_a93,Drahtschmidli
Zurich_a94,"Limmat River, Zurich, Switzerland"
Zurich_a94,Drahtschmidli
Zurich_a95,Langensteinen (Oberstrass)
Zurich_a96,"Zurichberg, Zurich, Switzerland"
Zurich_a96,"Lake Zurich, Switzerland"
Zurich_a97,lake
Zurich_a98,the lake
Zurich_a99,the lake
Zurich_a100,the lake
Zurich_a101,the lake
Zurich_a102,the lake
Zurich_a103,"Zurich, Switzerland"
Zurich_a104,"Zurich, Switzerland"
Zurich_a105,"Zurich, Switzerland"
Zurich_a106,"Sihl Valley, Lorze Valley, Sihlsprung, Menzingen, Zurich, Switzerland"
Zurich_a107,Nagelfluh plate
Zurich_a108,Sihl springs
Zurich_a109,Lorze springs
Zurich_a110,"Sihlbrugg, Switzerland"
Zurich_a110,"Albisgütli, Zurich, Switzerland"
Zurich_a111,"Albisgütli, Zurich, Switzerland"
Zurich_a112,"Albisgütli, Zurich, Switzerland"
Zurich_a113,the Sihl-Lorze springs
Zurich_a114,the Sihl-Lorze springs
Zurich_a115,the Sihl-Lorze springs
Zurich_a115,lake water
Zurich_a116,"Zurich, Switzerland"
Zurich_a117,"Zurich, Switzerland"
Zurich_a118,"Zurich, Switzerland"
Zurich_a119,"Zurich, Switzerland"
Zurich_a120,"Zurich, Switzerland"
Zurich_a121,"Zurich, Switzerland"
Zurich_a122,"Zurich, Switzerland"
Zurich_a123,"Zurich, Switzerland"
Zurich_a124,"Zurich, Switzerland"
Zurich_a125,"Canton of Zurich, Switzerland"
Zurich_a126,"Canton of Zurich, Switzerland"
Zurich_a127,"Canton of Zurich, Switzerland"
Zurich_a128,"Canton of Zurich, Switzerland"
Zurich_a129,"Canton of Zurich, Switzerland"
Zurich_a130,Cemetery Sihlfeld
Zurich_a131,municipal streetcar network
Zurich_a132,municipal streetcar network
Zurich_a133,"Zurich, Switzerland"
Zurich_a133,"Uetliberg, Zurich, Switzerland"
Zurich_a134,"Schlieren, Zurich, Switzerland"
Zurich_a135,"Schlieren, Zurich, Switzerland"
Zurich_a136,"Zurich, Switzerland"
Zurich_a137,"Zurich, Switzerland"
Zurich_a138,"Adliswil, Switzerland"
Zurich_a138,"Oerlikon, Zurich, Switzerland"
Zurich_a138,"Zollikon, Switzerland"
Zurich_a138,"Kilchberg, Switzerland"
Zurich_a138,"Schlieren, Switzerland"
Zurich_a138,Albisrieden-Altstetten
Zurich_a139,"Zurich, Switzerland"
Zurich_a139,"Adliswil, Switzerland"
Zurich_a139,"Oerlikon, Zurich, Switzerland"
Zurich_a139,"Zollikon, Switzerland"
Zurich_a139,"Kilchberg, Switzerland"
Zurich_a139,"Schlieren, Switzerland"
Zurich_a139,Albisrieden-Altstetten
Zurich_a140,"Zurich, Switzerland"
Zurich_a141,"Zurich, Switzerland"
Zurich_a142,"Zurich, Switzerland"
Zurich_a143,"Zurich, Switzerland"
Zurich_a144,"Zurich, Switzerland"
Zurich_a145,"Zurich, Switzerland"
Zurich_a146,"Zurich, Switzerland"
Zurich_a147,"Predigerkirche, Zurich, Switzerland"
Zurich_a148,"Wasserkirche, Zurich, Switzerland"
Zurich_a150,"Helmhaus, Zurich, Switzerland"
Zurich_a151,Museum opposite the meat hall
Zurich_a152,"Zurich, Switzerland"
Zurich_a153,"ETH Zurich, Switzerland"
Zurich_a154,"Zurich, Switzerland"
Zurich_a155,"Zurich, Switzerland"
Zurich_a156,"Zurich, Switzerland"
Zurich_a157,"Zurich, Switzerland"
Zurich_a158,"Zurich, Switzerland"
Zurich_a159,"Zurich, Switzerland"
Zurich_a160,"Zurich, Switzerland"
Zurich_a161,"Zurich, Switzerland"
Zurich_a162,"Zurich, Switzerland"
Zurich_a163,"Zurich, Switzerland"
Zurich_a164,"Zurich, Switzerland"
Zurich_a165,"Zurich, Switzerland"
Zurich_a166,"Zurich, Switzerland"
Zurich_a167,"Zurich, Switzerland"
Zurich_a168,"Zurich, Switzerland"
Zurich_a169,"Zurich, Switzerland"
Zurich_a170,"Zurich, Switzerland"
Zurich_a171,"Zurich, Switzerland"
Zurich_a172,"Zurich, Switzerland"
Zurich_a173,"Zurich, Switzerland"
Zurich_a174,"Zurich, Switzerland"
Zurich_a175,"Zurich, Switzerland"
Zurich_a176,"Zurich, Switzerland"
Zurich_a177,"Zurich, Switzerland"
Zurich_a178,"Zurich, Switzerland"
Zurich_a179,"Zurich, Switzerland"
Zurich_a180,"Zurich, Switzerland"
Zurich_a181,"Zurich, Switzerland"
Zurich_a182,"Zurich, Switzerland"
Zurich_a183,"Zurich, Switzerland"
Zurich_a184,"Zurich, Switzerland"
Zurich_a185,"Zurich, Switzerland"
Zurich_a186,"Zurich, Switzerland"
Zurich_a187,"Zurich, Switzerland"
Zurich_a188,"Zurich, Switzerland"
Zurich_a189,"Zurich, Switzerland"
Zurich_a190,"Zurich, Switzerland"
Zurich_a191,"Zurich, Switzerland"
Zurich_a192,"Zurich, Switzerland"
Zurich_a193,"Zurich, Switzerland"
Zurich_a194,"Zurich, Switzerland"
Zurich_a195,"Zurich, Switzerland"
Zurich_a196,"Zurich, Switzerland"
Zurich_a197,"Zurich, Switzerland"
Zurich_a198,"Zurich, Switzerland"
Zurich_a199,"Zurich, Switzerland"
Zurich_a200,"Zurich, Switzerland"
Zurich_a201,"Zurich, Switzerland"
Zurich_a202,"Zurich, Switzerland"
Zurich_a203,"Zurich, Switzerland"
Zurich_a204,"Zurich, Switzerland"
Zurich_a205,municipal emergency hospital
Zurich_a206,"Zurich, Switzerland"
Zurich_a207,"Zurich, Switzerland"
Zurich_a208,"Zurich, Switzerland"
Zurich_a209,"Zurich, Switzerland"
Zurich_a210,"Zurich, Switzerland"
Zurich_a211,"Zurichberg, Zurich, Switzerland"
Zurich_a211,"Lake Zurich, Switzerland"
Zurich_a211,"Glatt Valley, Zurich, Switzerland"
Zurich_a212,"Zurichberg, Zurich, Switzerland"
Zurich_a213,"Zurichberg, Zurich, Switzerland"
Zurich_a213,"Zurich, Switzerland"
Zurich_a213,"Oerlikon, Zurich, Switzerland"
Zurich_a214,"Zurichberg, Zurich, Switzerland"
Zurich_a214,Zurich-Witikon road
Zurich_a215,"Zurich, Switzerland"
Zurich_a216,"Lake Zurich, Switzerland"
Zurich_a216,"Upper Lake Zurich, Switzerland"
Zurich_a227,"Zurich, Switzerland"
Zurich_a230,"Zurich, Switzerland"
Zurich_a231,"Zurich, Switzerland"
Zurich_a232,"Zurich, Switzerland"
Zurich_a233,"Zurich, Switzerland"
Zurich_a263,entire city
Zurich_a264,entire city
Zurich_a265,old town
Zurich_a266,entire city
Zurich_a267,entire city
Zurich_a268,old town
Zurich_a269,"Zurich, Switzerland"
Zurich_a270,"Old Town, Zurich, Switzerland"
Zurich_a271,the entire city
Zurich_a272,the old town
Zurich_a295,"Federal Observatory Zurichberg, Zurich, Switzerland"
Zurich_a296,"Federal Observatory Zurichberg, Zurich, Switzerland"
Zurich_a297,lake level
Zurich_a298,"Limmat River, Switzerland"
Zurich_a298,"Hoengg, Zurich, Switzerland"
Zurich_a299,"Limmat River, Switzerland"
Zurich_a299,"Hoengg, Zurich, Switzerland"
Zurich_a300,"Limmat River, Switzerland"
Zurich_a300,"Hoengg, Zurich, Switzerland"
Zurich_a301,"Uetliberg, Zurich, Switzerland"
Zurich_a302,"Zurich, Switzerland"
Zurich_a303,"Zurich old town, Switzerland"
Zurich_a304,"Zurich, Switzerland"
Zurich_a305,"Zurich, Switzerland"
Zurich_a306,"Zurich, Switzerland"
Zurich_a307,"Zurich, Switzerland"
Zurich_a308,"Zurich, Switzerland"
Zurich_a309,"Zurich, Switzerland"
Zurich_a310,"Zurich, Switzerland"
Zurich_a311,"Zurich, Switzerland"
Zurich_a312,"Zurich, Switzerland"
Zurich_a313,"Zurich, Switzerland"
Zurich_a314,"Zurich, Switzerland"
Zurich_a315,"Zurich, Switzerland"
Zurich_a316,cantonal population
Zurich_a317,cantonal population
Zurich_a318,cantonal population
Zurich_a319,cantonal population
Zurich_a320,cantonal population
Zurich_a321,cantonal population
Zurich_a322,cantonal population
Zurich_a323,cantonal population
Zurich_a324,cantonal population
Zurich_a325,cantonal population
Zurich_a334,French
Zurich_a335,French
Zurich_a336,French
Zurich_a337,French
Zurich_a338,French
Zurich_a339,French
Zurich_a340,French
Zurich_a341,French
Zurich_a350,"Zurich, Switzerland"
Zurich_a351,"Zurich, Switzerland"
Zurich_a352,"Zurich, Switzerland"
Zurich_a353,"Zurich, Switzerland"
Zurich_a354,"Zurich, Switzerland"
Zurich_a355,"Zurich, Switzerland"
Zurich_a356,"Zurich, Switzerland"
Zurich_a357,"Zurich, Switzerland"
Zurich_a358,"Zurich, Switzerland"
Zurich_a359,"Zurich, Switzerland"
Zurich_a360,Catholic
Zurich_a361,Catholic
Zurich_a362,Catholic
Zurich_a363,Catholic
Zurich_a364,Catholic
Zurich_a365,Catholic
Zurich_a366,Catholic
Zurich_a367,Catholic
Zurich_a368,Catholic
Zurich_a369,Catholic
Zurich_a380,Switzerland
Zurich_a381,Switzerland
Zurich_a382,Switzerland
Zurich_a383,Switzerland
Zurich_a384,Switzerland
Zurich_a385,Switzerland
Zurich_a386,Switzerland
Zurich_a387,Switzerland
Zurich_a388,Switzerland
Zurich_a389,Switzerland
Zurich_a390,"Zurich, Switzerland"
Zurich_a391,"Zurich, Switzerland"
Zurich_a392,"Zurich, Switzerland"
Zurich_a393,"Zurich, Switzerland"
Zurich_a394,"Zurich, Switzerland"
Zurich_a395,"Zurich, Switzerland"
Zurich_a396,"Zurich, Switzerland"
Zurich_a397,"Zurich, Switzerland"
Zurich_a398,"Zurich, Switzerland"
Zurich_a399,"Zurich, Switzerland"
Genf_a2,"Geneva, Switzerland"
Genf_a3,"Geneva, Switzerland"
Genf_a4,"Geneva, Switzerland"
Genf_a5,"Geneva, Switzerland"
Genf_a6,Rues Basses
Genf_a6,Four de la Marjolaine passage
Genf_a7,"Geneva, Switzerland"
Genf_a8,"Geneva, Switzerland"
Genf_a9,"Geneva, Switzerland"
Genf_a10,"Geneva, Switzerland"
Genf_a11,"Geneva, Switzerland"
Genf_a12,"Geneva, Switzerland"
Genf_a13,"Geneva, Switzerland"
Genf_a14,"Geneva, Switzerland"
Genf_a15,Port de la Fusterie
Genf_a16,Treille
Genf_a16,"Plainpalais, Geneva, Switzerland"
Genf_a17,"Geneva, Switzerland"
Genf_a18,"Geneva, Switzerland"
Genf_a19,"Geneva, Switzerland"
Genf_a20,"Geneva, Switzerland"
Genf_a21,"Geneva, Switzerland"
Genf_a22,"Les Eaux-Vives, Geneva, Switzerland"
Genf_a23,"Plainpalais, Geneva, Switzerland"
Genf_a24,"Le Petit-Saconnex, Geneva, Switzerland"
Genf_a25,"Les Eaux-Vives, Geneva, Switzerland"
Genf_a26,"Plainpalais, Geneva, Switzerland"
Genf_a27,"Le Petit-Saconnex, Geneva, Switzerland"
Genf_a28,"Les Eaux-Vives, Geneva, Switzerland"
Genf_a28,"Plainpalais, Geneva, Switzerland"
Genf_a28,"Le Petit-Saconnex, Geneva, Switzerland"
Genf_a29,"Geneva, Switzerland"
Genf_a30,neighboring municipalities
Genf_a31,"Geneva, Switzerland"
Genf_a32,"Geneva, Switzerland"
Genf_a33,"Geneva, Switzerland"
Genf_a34,"Geneva, Switzerland"
Genf_a35,"Geneva, Switzerland"
Genf_a36,"Geneva, Switzerland"
Genf_a38,"Geneva, Switzerland"
Genf_a39,"Geneva, Switzerland"
Genf_a40,"Geneva, Switzerland"
Genf_a41,"Geneva, Switzerland"
Genf_a42,"Geneva, Switzerland"
Genf_a43,"Geneva, Switzerland"
Genf_a44,"Geneva, Switzerland"
Genf_a45,"Geneva, Switzerland"
Genf_a46,"Geneva, Switzerland"
Genf_a47,Italian
Genf_a67,"Geneva, Switzerland"
Genf_a68,"Geneva, Switzerland"
Genf_a70,"Geneva, Switzerland"
Genf_a72,"Geneva, Switzerland"
Genf_a73,"Geneva, Switzerland"
Lausanne_a1,"Ouchy, Lausanne, Switzerland"
Lausanne_a2,"Chalet-à-Gobet, Lausanne, Switzerland"
Lausanne_a3,"Fribourg, Switzerland"
Lausanne_a4,"Lausanne, Switzerland"
Lausanne_a5,"Lausanne, Switzerland"
Lausanne_a6,Les Râpes
Lausanne_a7,"Lausanne, Switzerland"
Lausanne_a8,"Lausanne, Switzerland"
Lausanne_a9,"Vaud, Switzerland"
Lausanne_a9,Switzerland
Lausanne_a10,"Lausanne, Switzerland"
Lausanne_a11,"Lausanne, Switzerland"
Lausanne_a12,"Lausanne, Switzerland"
Lausanne_a13,"Lausanne, Switzerland"
Lausanne_a13,suburban municipalities
Lausanne_a14,"Lausanne, Switzerland"
Lausanne_a15,"Lausanne, Switzerland"
Lausanne_a16,"Lausanne, Switzerland"
Lausanne_a17,"Lausanne, Switzerland"
Lausanne_a18,"Lausanne, Switzerland"
Lausanne_a19,"Lausanne, Switzerland"
Lausanne_a20,"Lausanne, Switzerland"
Lausanne_a21,"Lausanne, Switzerland"
Lausanne_a22,"Sauvabelin, Lausanne, Switzerland"
Lausanne_a22,artificial lake
Lausanne_a23,"Lausanne, Vaud, Switzerland"
Lausanne_a23,"Vaud, Switzerland"
Lausanne_a24,"Lausanne, Switzerland"
Lausanne_a25,"Lausanne, Switzerland"
Lausanne_a26,"Lausanne, Switzerland"
Lausanne_a27,"Lausanne, Switzerland"
Lausanne_a28,"Lausanne, Switzerland"
Lausanne_a29,"Lausanne, Switzerland"
Lausanne_a31,"Lausanne, Switzerland"
Lausanne_a32,"Lausanne, Switzerland"
Lausanne_a33,"Lausanne, Switzerland"
Lausanne_a34,"Lausanne, Switzerland"
Lausanne_a35,"Lausanne, Switzerland"
Lausanne_a36,"Lausanne, Switzerland"
Lausanne_a37,"Lausanne, Switzerland"
Lausanne_a38,"Lausanne, Switzerland"
Lausanne_a39,"Lausanne, Switzerland"
Lausanne_a40,"Lausanne, Switzerland"
Lausanne_a41,"Lausanne, Switzerland"
Lausanne_a42,"Lausanne, Switzerland"
Lausanne_a43,"Lausanne, Switzerland"
Lausanne_a44,"Lausanne, Switzerland"
Lausanne_a45,"Lausanne, Switzerland"
Lausanne_a46,"Lausanne, Switzerland"
Lausanne_a47,"Lausanne, Switzerland"
Lausanne_a63,"Lausanne, Switzerland"
Lausanne_a64,"Lausanne, Switzerland"
Lausanne_a65,"Lausanne, Switzerland"
Lausanne_a66,"Lausanne, Switzerland"
Lausanne_a67,"Lausanne, Switzerland"
Lausanne_a68,"Lausanne, Switzerland"
Lausanne_a69,"Lausanne, Switzerland"
Lausanne_a70,"Lausanne, Switzerland"
Lausanne_a71,"Lausanne, Switzerland"
Lausanne_a72,"Lausanne, Switzerland"
Lausanne_a73,"Lausanne, Switzerland"
Lausanne_a81,"Lausanne, Switzerland"
Lausanne_a82,"Lausanne, Switzerland"
Lausanne_a83,"Lausanne, Switzerland"
Lausanne_a84,"Lausanne, Switzerland"
Lausanne_a85,"Lausanne, Switzerland"
Lausanne_a86,"Lausanne, Switzerland"
Lausanne_a87,"Lausanne, Switzerland"
Lausanne_a88,"Lausanne, Switzerland"
Lausanne_a89,"Lausanne, Switzerland"
Lausanne_a90,"Lausanne, Switzerland"
Lausanne_a91,"Lausanne, Switzerland"
Lausanne_a92,"Lausanne, Switzerland"
Lausanne_a93,"Bern, Switzerland"
