entity_id,name,entity_type
PERSON_quaibrücke,Quaibrücke,PERSON
GPE_urania,Urania,GPE
NORP_swiss,Swiss,NORP
PERSON_rhine,Rhine,PERSON
PERSON_zurich,Zurich,PERSON
GPE_italy,Italy,GPE
GPE_germany,Germany,GPE
WORK_OF_ART_spanish_brötli_bahn,Spanish Brötli Bahn,WORK_OF_ART
DATE_today,Today,DATE
PERSON_winterthur,Winterthur,PERSON
ORG_romanshorn_frauenfeld,Romanshorn-Frauenfeld,ORG
ORG_singen_etzwilen,Singen-Etzwilen,ORG
GPE_glarus,Glarus,GPE
GPE_graubünden,Graubünden,GPE
ORG_wädenswil_einsiedeln,Wädenswil-Einsiedeln,ORG
GPE_ricken_toggenburg,Ricken-Toggenburg,GPE
ORG_lucerne_zug,Lucerne-Zug,ORG
ORG_basel_brugg,Basel-Brugg,ORG
ORG_schanzengraben,Schanzengraben,ORG
ORG_limmat_bank,Limmat bank,ORG
ORG_seilergraben_hirschengraben,Seilergraben-Hirschengraben,ORG
GPE_bürkliplatz,Bürkliplatz,GPE
PRODUCT_stadthausplatz,Stadthausplatz,PRODUCT
PERSON_enge,Enge,PERSON
NORP_bahnhofstrasse,Bahnhofstrasse,NORP
ORG_black_forest,Black Forest,ORG
PERSON_zollikon,Zollikon,PERSON
LOC_vrenelisgärtli,Vrenelisgärtli,LOC
PERSON_faulen,Faulen,PERSON
PERSON_drusberg,Drusberg,PERSON
LOC_sihl_valley,Sihl valley,LOC
ORG_bifertenstock_tödi,"Bifertenstock, Tödi",ORG
GPE_klariden,Klariden,GPE
LOC_scheerhorn,Scheerhorn,LOC
GPE_düssistock,Düssistock,GPE
GPE_mythen,Mythen,GPE
FAC_windgällen,Windgällen,FAC
PERSON_kleinen_windgälle,Kleinen Windgälle,PERSON
GPE_kaiserstock,Kaiserstock,GPE
PERSON_rossberg,Rossberg,PERSON
GPE_bristenstock,Bristenstock,GPE
ORG_urnäsch_urirotstock,Urnäsch (Urirotstock,ORG
PERSON_schlossstock,Schlossstock,PERSON
ORG_wissig,Wissig,ORG
PERSON_hohen_ronen,Hohen Ronen,PERSON
GPE_gottschalkenberg,Gottschalkenberg,GPE
ORG_albis,Albis,ORG
GPE_zimmerberg,Zimmerberg,GPE
GPE_hütten,Hütten,GPE
GPE_schindellegi,Schindellegi,GPE
DATE_1885,1885,DATE
GPE_zwingli,Zwingli,GPE
FAC_wasserkirche,Wasserkirche,FAC
PERSON_helmhaus,Helmhaus,PERSON
PERSON_grossmünster,Grossmünster,PERSON
ORG_gothic,Gothic,ORG
DATE_1519_1531,1519–1531,DATE
NORP_romanesque,Romanesque,NORP
DATE_1078,1078,DATE
PERSON_charlemagne,Charlemagne,PERSON
PERSON_limmatquai,Limmatquai,PERSON
DATE_1502,1502,DATE
DATE_1504,1504,DATE
DATE_1694,1694,DATE
NORP_german,German,NORP
PERSON_gottfried_keller,Gottfried Keller,PERSON
ORG_zurich_utoquai,Zurich: Utoquai,ORG
ORG_meyer_von_knonau,Meyer von Knonau,ORG
DATE_1846,1846,DATE
PRODUCT_gemüsebrücke,Gemüsebrücke,PRODUCT
ORG_the_green_hill,the green hill,ORG
WORK_OF_ART_lindenhof,Lindenhof,WORK_OF_ART
PERSON_freemason,Freemason,PERSON
ORG_st_peter_s_church,St. Peter's Church,ORG
PERSON_schipfe,Schipfe,PERSON
GPE_wühre,Wühre,GPE
NORP_baroque,Baroque,NORP
PERSON_ludwig,Ludwig,PERSON
PERSON_hans_waldmann_s,Hans Waldmann's,PERSON
GPE_molasse,molasse,GPE
PRODUCT_bäch,Bäch,PRODUCT
ORG_bollingen,Bollingen,ORG
NORP_melancholic,melancholic,NORP
PRODUCT_prediger,Prediger,PRODUCT
ORG_the_roman_catholic_liebfrauenkirche,the Roman Catholic Liebfrauenkirche,ORG
PRODUCT_münsterbrücke,Münsterbrücke,PRODUCT
DATE_1838,1838,DATE
ORG_wallenstadtsee,Wallenstadtsee,ORG
ORG_mellingen,Mellingen,ORG
PERSON_negrelli,Negrelli,PERSON
PERSON_konrad_stadler,Konrad Stadler,PERSON
PERSON_lower_limmatquai,Lower Limmatquai,PERSON
ORG_fleischhalle,Fleischhalle,ORG
PERSON_gemüsebrücke,Gemüsebrücke,PERSON
GPE_marktgasse,Marktgasse,GPE
GPE_schmieden,Schmieden,GPE
GPE_stüssihofstatt,Stüssihofstatt,GPE
PERSON_knight_stüssi,Knight Stüssi,PERSON
ORG_niederdorf,Niederdorf,ORG
PERSON_leonhardplatz,Leonhardplatz,PERSON
ORG_northeastern_railway_company,Northeastern Railway Company,ORG
ORG_the_swiss_national_museum,the Swiss National Museum,ORG
PERSON_ferdinand_keller_s,Ferdinand Keller's,PERSON
PERSON_hodler,Hodler,PERSON
ORG_marignano,Marignano,ORG
PERSON_abbey_zurich,Abbey Zurich,PERSON
DATE_1489,1489,DATE
DATE_1507,1507,DATE
ORG_the_national_museum,The National Museum,ORG
DATE_1891,1891,DATE
ORG_confederation,Confederation,ORG
DATE_june_25_1898,"June 25, 1898",DATE
ORG_the_minnesinger_hadlaub,the Minnesinger Hadlaub,ORG
PERSON_gessner,Gessner,PERSON
PERSON_wilhelm_baumgartner,Wilhelm Baumgartner,PERSON
PERSON_gottfried_keller_s,Gottfried Keller’s,PERSON
PERSON_alfred_escher,Alfred Escher,PERSON
PERSON_richard_kisling,Richard Kisling,PERSON
DATE_1889,1889,DATE
GPE_paradeplatz,Paradeplatz,GPE
PERSON_oetenbach,Oetenbach,PERSON
GPE_uraniastrasse,Uraniastrasse,GPE
GPE_lindenhof,Lindenhof,GPE
GPE_strohhof,Strohhof,GPE
GPE_st_anna,St. Anna,GPE
PERSON_katz,Katz,PERSON
NORP_french,French,NORP
PERSON_pestalozzi,Pestalozzi,PERSON
GPE_kappelerhof,Kappelerhof,GPE
ORG_swiss_bank_association,Swiss Bank Association,ORG
ORG_swiss_credit_institution,Swiss Credit Institution,ORG
ORG_bank_leu,Bank Leu,ORG
ORG_zurich_cantonal_bank,Zurich Cantonal Bank,ORG
ORG_swiss_people_s_bank_on_bahnhofstrasse,Swiss People's Bank on Bahnhofstrasse,ORG
ORG_the_swiss_bank_association,the Swiss Bank Association,ORG
NORP_augustinergasse,Augustinergasse,NORP
PERSON_alpenquai,Alpenquai,PERSON
DATE_1881,1881,DATE
DATE_1887,1887,DATE
NORP_linth,Linth,NORP
PERSON_walensee,Walensee,PERSON
PERSON_speer,Speer,PERSON
GPE_jurassic,Jurassic,GPE
ORG_glärnisch,Glärnisch,ORG
GPE_quay,quay,GPE
PERSON_a_bürkli,A. Bürkli,PERSON
PERSON_albert_heim,Albert Heim,PERSON
FAC_the_zurich_trocadero,the Zurich Trocadero,FAC
PERSON_fellner,Fellner,PERSON
DATE_1895,1895,DATE
PERSON_palais_henneberg,Palais Henneberg,PERSON
PERSON_savonnières,Savonnières,PERSON
ORG_gotthard,Gotthard,ORG
PERSON_lydia_welti_escher,Lydia Welti-Escher,PERSON
GPE_belvoirpark,Belvoirpark,GPE
PERSON_waffenplatzstrasse,Waffenplatzstrasse,PERSON
PERSON_albiskette,Albiskette,PERSON
PERSON_albisgütli,Albisgütli,PERSON
NORP_theresienwiese,Theresienwiese,NORP
FAC_the_munich_oktoberfest,the Munich Oktoberfest,FAC
PRODUCT_sihlhölzli,Sihlhölzli,PRODUCT
PERSON_wiedikon,Wiedikon,PERSON
GPE_badenerstrasse,Badenerstrasse,GPE
GPE_st_jakob_s,St. Jakob's,GPE
DATE_1901,1901,DATE
GPE_langstrasse,Langstrasse,GPE
DATE_sundays,Sundays,DATE
PERSON_limmatplatz,Limmatplatz,PERSON
ORG_sihl_bank,Sihl bank,ORG
PERSON_sihlquai,Sihlquai,PERSON
ORG_escher_wyss_co,Escher-Wyss & Co.,ORG
ORG_steinfels,Steinfels,ORG
GPE_letten,Letten,GPE
PERSON_wipkinger_bridge,Wipkinger bridge,PERSON
GPE_hoengg,Hoengg,GPE
GPE_käferberg,Käferberg,GPE
GPE_wipkingen,Wipkingen,GPE
PERSON_röschibachstrasse,Röschibachstrasse,PERSON
ORG_nordstrasse,Nordstrasse,ORG
ORG_rotbuchstrasse,Rotbuchstrasse,ORG
GPE_rötel,Rötel,GPE
PERSON_weinbergstrasse,Weinbergstrasse,PERSON
PERSON_leonhardsplatz,Leonhardsplatz,PERSON
PERSON_bahnhofbrücke,Bahnhofbrücke,PERSON
ORG_riedlistrasse,Riedlistrasse,ORG
DATE_rigi_quarter,Rigi quarter,DATE
ORG_höhenstrasse,Höhenstrasse,ORG
ORG_the_swiss_federal_polytechnic_school,the Swiss Federal Polytechnic School,ORG
DATE_1855,1855,DATE
PERSON_gottfried_semper,Gottfried Semper,PERSON
DATE_1864,1864,DATE
PERSON_graf,Graf,PERSON
PERSON_kappeler,Kappeler,PERSON
ORG_hörbst,Hörbst,ORG
PERSON_kopp,Kopp,PERSON
GPE_bolley,Bolley,GPE
ORG_semper_and_culmann_richard_kisling,Semper and Culmann (Richard Kisling,ORG
PERSON_sgraffito,sgraffito,PERSON
ORG_university,University,ORG
DATE_1886,1886,DATE
DATE_1890,1890,DATE
DATE_1832,1832,DATE
DATE_spring_1909,spring 1909,DATE
ORG_rämistrasse,Rämistrasse,ORG
DATE_1839_42,1839–42,DATE
PERSON_wegmann,Wegmann,PERSON
GPE_wolfbach,Wolfbach,GPE
GPE_florhofgasse,Florhofgasse,GPE
PERSON_hirschengraben,Hirschengraben,PERSON
GPE_rechberg,Rechberg,GPE
ORG_badenerstrasse,Badenerstrasse,ORG
DATE_1821,1821,DATE
PERSON_alexander_koch,Alexander Koch,PERSON
DATE_almost_every_year,almost every year,DATE
DATE_1889_1902,1889-1902,DATE
PERSON_770_fr,770 Fr,PERSON
PERSON_25_73_fr,25.73 Fr,PERSON
GPE_bergstrasse,Bergstrasse,GPE
ORG_the_dolder_forest_house,the Dolder Forest House,ORG
ORG_dolderpark,Dolderpark,ORG
ORG_kreuzkirche,Kreuzkirche,ORG
PERSON_römerhof,Römerhof,PERSON
ORG_st_antonius,St. Antonius,ORG
ORG_hottingen,Hottingen,ORG
ORG_kreuzplatz_bahnhof_stadelhofen,Kreuzplatz-Bahnhof Stadelhofen,ORG
ORG_the_high_promenade,the High Promenade,ORG
NORP_english,English,NORP
ORG_fellner,Fellner,ORG
PERSON_helmer,Helmer,PERSON
GPE_vienna,Vienna,GPE
DATE_autumn_1891,autumn 1891,DATE
LOC_untern_zäune,Untern Zäune,LOC
DATE_january_1_2,"January 1/2,",DATE
ORG_the_corso_theater,the Corso Theater,ORG
DATE_1900,1900,DATE
FAC_tonhalle_square,Tonhalle square,FAC
PERSON_heimplatz,Heimplatz,PERSON
ORG_pfauen_theater,Pfauen Theater,ORG
PERSON_ignaz_heim,Ignaz Heim,PERSON
DATE_years,years,DATE
PERSON_obmann,Obmann,PERSON
ORG_barefoot,Barefoot,ORG
DATE_1836,1836,DATE
WORK_OF_ART_bollwerk_zur_katze,Bollwerk zur Katze,WORK_OF_ART
GPE_schanzengraben,Schanzengraben,GPE
PERSON_alpinum,Alpinum,PERSON
ORG_helveticum,Helveticum,ORG
PERSON_hegetschweiler,Hegetschweiler,PERSON
PERSON_heinrich_zollinger,Heinrich Zollinger,PERSON
PERSON_oswald_heer,Oswald Heer,PERSON
PERSON_konrad_gessner,Konrad Gessner,PERSON
GPE_selnau,Selnau,GPE
GPE_sihl_valley_railway,Sihl valley railway,GPE
ORG_saint_jakob_s,Saint Jakob's,ORG
PERSON_peter,Peter,PERSON
ORG_zäune_neumarkt_rindermarkt,Zäune-Neumarkt-Rindermarkt,ORG
PERSON_windegg,Windegg,PERSON
PERSON_kerze,Kerze,PERSON
PERSON_zum_loch,zum Loch,PERSON
PERSON_zum_pflug,zum Pflug,PERSON
GPE_königsstuhl,Königsstuhl,GPE
GPE_kropf,Kropf,GPE
GPE_wellenbaum,Wellenbaum,GPE
GPE_einhorn,Einhorn,GPE
PERSON_zum_steinernen,zum steinernen,PERSON
PRODUCT_erggel,Erggel,PRODUCT
PERSON_das_gut,das Gut,PERSON
PERSON_zum_rechberg,zum Rechberg,PERSON
PERSON_beckenhof,Beckenhof,PERSON
PERSON_strohhof,Strohhof,PERSON
GPE_friesenberg,Friesenberg,GPE
GPE_kirchgasse,Kirchgasse,GPE
GPE_schipfe,Schipfe,GPE
PERSON_zäune,Zäune,PERSON
ORG_augustinergasse,Augustinergasse,ORG
ORG_unicorn,Unicorn,ORG
GPE_saffran,Saffran,GPE
ORG_dielsdorf_lägern,Dielsdorf Lägern,ORG
PRODUCT_solothurn,Solothurn,PRODUCT
ORG_albthal,Albthal,ORG
PERSON_ticino,Ticino,PERSON
GPE_baveno,Baveno,GPE
FAC_lake_langensee,Lake Langensee,FAC
GPE_france,France,GPE
ORG_wasserkirche,Wasserkirche,ORG
DATE_the_12th_and_13th_centuries,the 12th and 13th centuries,DATE
ORG_stone,Stone,ORG
DATE_1313,1313,DATE
PERSON_meyer_von_knonau,Meyer von Knonau,PERSON
PERSON_der_kanton_zürich,Der Kanton Zürich,PERSON
DATE_1844,1844,DATE
PERSON_zwingli,Zwingli,PERSON
ORG_rüdenplatz,Rüdenplatz,ORG
ORG_escher_von_der_linth,Escher von der Linth,ORG
ORG_sihlstrasse,Sihlstrasse,ORG
PERSON_imfeld,Imfeld,PERSON
PERSON_alb,Alb,PERSON
ORG_stadthausplatz_bürkliplatz,Stadthausplatz (Bürkliplatz,ORG
LOC_enge,Enge,LOC
PERSON_panorama,Panorama,PERSON
DATE_1907,1907,DATE
DATE_1905,1905,DATE
ORG_lasius,Lasius,ORG
GPE_st_verena,St. Verena,GPE
PERSON_leo,Leo,PERSON
DATE_1897,1897,DATE
PERSON_künzli,Künzli,PERSON
DATE_1898,1898,DATE
PERSON_h_guide,H. Guide,PERSON
ORG_the_university_of_zurich,the University of Zurich,ORG
PERSON_bauschänzli,Bauschänzli,PERSON
NORP_catholics,Catholics,NORP
NORP_italian,Italian,NORP
DATE_1899_1900,1899/1900,DATE
DATE_1902,1902,DATE
DATE_the_end_of_1906,the end of 1906,DATE
DATE_the_winter_months,the winter months,DATE
DATE_1913,1913,DATE
DATE_between_1898_and_1903,between 1898 and 1903,DATE
DATE_1899,1899,DATE
DATE_1906_25_23,1906 25.23‰,DATE
DATE_mid_year,mid-year,DATE
GPE_stadthausquai,Stadthausquai,GPE
DATE_one_year,one year,DATE
DATE_the_normal_year_1906,the normal year 1906,DATE
DATE_annual,annual,DATE
DATE_the_beginning_of_april_or_october,the beginning of April or October,DATE
GPE_cologne,Cologne,GPE
GPE_dresden,Dresden,GPE
GPE_nuremberg,Nuremberg,GPE
DATE_1906,1906,DATE
DATE_more_than_two_months,more than two months,DATE
DATE_the_year_1908,The year 1908,DATE
NORP_italians,Italians,NORP
DATE_the_previous_year,the previous year,DATE
PERSON_german_reich,German Reich,PERSON
DATE_recent_years,recent years,DATE
NORP_germans,Germans,NORP
GPE_austria,Austria,GPE
GPE_russia,Russia,GPE
NORP_gemüsemarkt,Gemüsemarkt,NORP
GPE_st_peter_s_church,St. Peter's Church,GPE
DATE_june_1906,June 1906,DATE
DATE_1833,1833,DATE
DATE_1770,1770,DATE
DATE_around_1900,Around 1900,DATE
DATE_1809,1809,DATE
PERSON_wolff,Wolff,PERSON
PERSON_h_zurich_s,H. Zurich's,PERSON
GPE_zurich_6_1906,"Zurich 6, 1906",GPE
DATE_10_1908,"10, 1908",DATE
PERSON_h_lecture,H. Lecture,PERSON
ORG_the_statistical_and_economic_society,the Statistical and Economic Society,ORG
DATE_january_1908,January 1908,DATE
PERSON_hygienic_conditions,Hygienic Conditions,PERSON
DATE_1344,1344,DATE
PERSON_zum_schwert,zum Schwert,PERSON
DATE_1553,1553,DATE
DATE_1556,1556,DATE
PERSON_platzspitz,Platzspitz,PERSON
DATE_1404,1404,DATE
DATE_1512,1512,DATE
GPE_weinplatz,Weinplatz,GPE
PERSON_kornhausplatz,Kornhausplatz,PERSON
DATE_1580,1580,DATE
DATE_1585,1585,DATE
DATE_1740,1740,DATE
DATE_1814,1814,DATE
DATE_july_8_1817,"July 8, 1817",DATE
DATE_january_29_1854,"January 29, 1854",DATE
DATE_february_25_1882,"February 25, 1882",DATE
DATE_february_25_1891,"February 25, 1891",DATE
DATE_march_1909,March 1909,DATE
ORG_limmat_and_schanzengraben,Limmat and Schanzengraben,ORG
DATE_june_15_1876,"June 15, 1876",DATE
LOC_lake_area,Lake area,LOC
PERSON_km²,km²,PERSON
DATE_annually,annually,DATE
DATE_bad_summer,(bad summer,DATE
DATE_1906_343_816,"1906 343,816",DATE
DATE_winter,winter,DATE
ORG_bürkliplatz_for_air_baths,Bürkliplatz for air baths,ORG
NORP_roman,Roman,NORP
PERSON_geissberg,Geissberg,PERSON
PERSON_sihlhölzli,Sihlhölzli,PERSON
LOC_stadelhoferplatz,Stadelhoferplatz,LOC
PERSON_rudolf_koller,Rudolf Koller,PERSON
DATE_may_24_1908,"May 24, 1908",DATE
ORG_limmatplatz_rotwand,"Limmatplatz, Rotwand",ORG
PERSON_dolder,Dolder,PERSON
ORG_the_beautification_association_of_zurich,the Beautification Association of Zurich,ORG
ORG_surroundings,Surroundings,ORG
DATE_the_early_1870s,the early 1870s,DATE
NORP_manessebrünneli,Manessebrünneli,NORP
PERSON_grandmother_beech,Grandmother Beech,PERSON
PERSON_battle_memorial,Battle Memorial,PERSON
DATE_1799,1799,DATE
GPE_sagentobel,Sagentobel,GPE
PERSON_stöckentobel,Stöckentobel,PERSON
PERSON_weidberg,Weidberg,PERSON
ORG_the_black_forest,the Black Forest,ORG
LOC_vosges,Vosges,LOC
PERSON_jura,Jura,PERSON
ORG_hegau,Hegau,ORG
ORG_hoherstoffel_and_hohentwiel,Hoherstoffel and Hohentwiel,ORG
LOC_alps,Alps,LOC
GPE_säntis,Säntis,GPE
PERSON_spelterini,Spelterini,PERSON
DATE_sunday,Sunday,DATE
PERSON_sihlwald,Sihlwald,PERSON
DATE_summer,summer,DATE
PERSON_hose,hose,PERSON
GPE_hardhüsligut,Hardhüsligut,GPE
ORG_house,House,ORG
PERSON_zum_rüden,zum Rüden,PERSON
DATE_1909,1909,DATE
DATE_daily,daily,DATE
DATE_40,40,DATE
DATE_the_year,the year,DATE
DATE_weekly,weekly,DATE
DATE_tuesdays,Tuesdays,DATE
DATE_fridays,Fridays,DATE
DATE_these_days,these days,DATE
NORP_petersstrasse,Petersstrasse,NORP
GPE_sihlhofstrasse,Sihlhofstrasse,GPE
GPE_usteristrasse,Usteristrasse,GPE
GPE_schweizergasse,Schweizergasse,GPE
ORG_lintheschergasse,Lintheschergasse,ORG
NORP_schützengasse,Schützengasse,NORP
PERSON_rathausquai,Rathausquai,PERSON
PERSON_rathausbrücke_hirschengraben,"Rathausbrücke, Hirschengraben",PERSON
GPE_stauffacherstrasse,Stauffacherstrasse,GPE
DATE_autumn,autumn,DATE
DATE_mid_september,mid-September,DATE
DATE_mid_november,mid-November,DATE
DATE_16_to_48_fr,16 to 48 Fr,DATE
PERSON_fr,Fr,PERSON
GPE_bülach,Bülach,GPE
GPE_dielsdorf,Dielsdorf,GPE
ORG_horgen,Horgen,ORG
NORP_aargau,Aargau,NORP
PERSON_zug,Zug,PERSON
GPE_alsace,Alsace,GPE
PRODUCT_rafzerfeld,Rafzerfeld,PRODUCT
DATE_around_christmas,Around Christmas,DATE
DATE_christmas,Christmas,DATE
DATE_the_end_of_1907,the end of 1907,DATE
ORG_zeughausstrasse_10,Zeughausstrasse 10,ORG
DATE_45,45,DATE
ORG_konradstrasse_11,Konradstrasse 11,ORG
DATE_46,46,DATE
GPE_zwinglistrasse,Zwinglistrasse,GPE
DATE_34,34,DATE
ORG_langstrasse_28,Langstrasse 28,ORG
ORG_the_women_s_association_for_temperance_and_public_welfare,the Women’s Association for Temperance and Public Welfare,ORG
DATE_12_years_ago,12 years ago,DATE
WORK_OF_ART_zurichberg,Zurichberg,WORK_OF_ART
PERSON_zum_blauen,zum blauen,PERSON
ORG_seidenhof,Seidenhof,ORG
PERSON_zum_olivenbaum,zum Olivenbaum,PERSON
PERSON_karl_dem_grossen,Karl dem Grossen,PERSON
GPE_küchlifahrt,Küchlifahrt,GPE
NORP_nidelbad,Nidelbad,NORP
ORG_waid,Waid,ORG
DATE_1430,1430,DATE
DATE_the_middle_of_the_19th_century,the middle of the 19th century,DATE
PERSON_maß,Maß,PERSON
PERSON_g_meyer_von_knonau,G. Meyer von Knonau,PERSON
DATE_1860,1860,DATE
DATE_1867,1867,DATE
PERSON_bürkli,Bürkli,PERSON
ORG_mühlesteg,Mühlesteg,ORG
DATE_1868,1868,DATE
GPE_polytechnic,Polytechnic,GPE
GPE_schmelzberg,Schmelzberg,GPE
PERSON_bauschanze,Bauschanze,PERSON
DATE_1872,1872,DATE
ORG_platzspitz,Platzspitz,ORG
DATE_1870,1870,DATE
DATE_1875,1875,DATE
ORG_letten,Letten,ORG
ORG_drahtschmidli,Drahtschmidli,ORG
DATE_1879,1879,DATE
NORP_polytechnic,Polytechnic,NORP
PERSON_langensteinen,Langensteinen,PERSON
DATE_1884,1884,DATE
PERSON_k_zehnder,K. Zehnder,PERSON
PERSON_h_v_wyss,H. v. Wyss,PERSON
PERSON_cramer,Cramer,PERSON
PERSON_heim,Heim,PERSON
ORG_schanzengraben_sihl,Schanzengraben-Sihl,ORG
PERSON_letten,Letten,PERSON
GPE_neumünster,Neumünster,GPE
PERSON_lorze,Lorze,PERSON
ORG_the_church_of_enge,The Church of Enge,ORG
DATE_the_1st_ice_age,the 1st ice age,DATE
FAC_sihlsprung_menzingen,Sihlsprung-Menzingen,FAC
ORG_nagelfluh,Nagelfluh,ORG
PRODUCT_maxima,maxima,PRODUCT
ORG_minima_fluctuate,minima fluctuate,ORG
PERSON_sihlbrugg,Sihlbrugg,PERSON
GPE_albisgütli,Albisgütli,GPE
FAC_the_sihl_lorze,the Sihl-Lorze,FAC
DATE_january,January,DATE
DATE_september,September,DATE
DATE_december_4,December 4,DATE
DATE_november_25_1902,"November 25, 1902",DATE
DATE_the_next_few_years,the next few years,DATE
DATE_october_1_1906,"October 1, 1906",DATE
DATE_september_30_1907,"September 30, 1907",DATE
ORG_chf,CHF,ORG
ORG_cholera,Cholera,ORG
WORK_OF_ART_fund_for_assistance_in_cholera_epidemics,Fund for Assistance in Cholera Epidemics,WORK_OF_ART
PERSON_typhus,Typhus,PERSON
DATE_previous_years,previous years,DATE
DATE_1904,1904,DATE
DATE_1903,1903,DATE
FAC_canton_zurich,Canton Zurich,FAC
DATE_year_1907,year 1907,DATE
PERSON_sihlfeld,Sihlfeld,PERSON
PERSON_manegg,Manegg,PERSON
ORG_wollishofen,Wollishofen,ORG
GPE_oberstrass,Oberstrass,GPE
PERSON_enzenbühl,Enzenbühl,PERSON
ORG_neumünster,Neumünster,ORG
ORG_allmend_muntern,Allmend Muntern,ORG
NORP_neumünster,Neumünster,NORP
DATE_1_1844,"1, 1844",DATE
ORG_heim,Heim,ORG
PERSON_näf_hatt,Näf-Hatt,PERSON
ORG_zurichberg_adlisberg,Zurichberg-Adlisberg,ORG
GPE_surroundings,Surroundings,GPE
ORG_alb,Alb,ORG
PERSON_bosshard,Bosshard,PERSON
PERSON_x_imfeld,X. Imfeld,PERSON
ORG_wagner,Wagner,ORG
ORG_albiskette,Albiskette,ORG
PERSON_escher_von_der_linth,Escher von der Linth,PERSON
PERSON_arnold,Arnold,PERSON
EVENT_new_year_s,New Year’s,EVENT
DATE_1871,1871,DATE
ORG_the_german_association_of_gas_and_water_specialists,the German Association of Gas and Water Specialists,ORG
ORG_weiss,Weiss,ORG
PERSON_a_gasworks,A. Gasworks,PERSON
ORG_wenner,Wenner,ORG
PERSON_v_sewerage,V. Sewerage,PERSON
ORG_usteri,Usteri,ORG
ORG_e_hospitals,E. Hospitals,ORG
ORG_sihl_and,Sihl and,ORG
PERSON_frau_s,Frau S.,PERSON
PERSON_3rd_ed,3rd ed.,PERSON
ORG_the_cantonal_council_and_government_council_zurich,the Cantonal Council and Government Council Zurich,ORG
DATE_february_1909,February 1909,DATE
PERSON_erismann,Erismann,PERSON
ORG_trade_and_industry,Trade and Industry,ORG
GPE_zurich_city,Zurich city,GPE
ORG_wiedikon_enge,"Wiedikon, Enge",ORG
PERSON_wollishofen,Wollishofen,PERSON
GPE_stadelhofen,Stadelhofen,GPE
GPE_tiefenbrunnen,Tiefenbrunnen,GPE
ORG_selnau,Selnau,ORG
PERSON_binz,Binz,PERSON
PERSON_waldegg,Waldegg,PERSON
FAC_giesshübel_brunau_manegg_sod_adliswil,Giesshübel-Brunau-Manegg-Sod-Adliswil,FAC
ORG_sihlbrugg,Sihlbrugg,ORG
