place_id,name,location_raw,location_normalized
place_singen_etzwilen,Singen-Etzwilen,Singen-Etzwilen,
place_right_and_left_lake_shores,right and left lake shores,right and left lake shores,
place_glarus_switzerland,"Glarus, Switzerland",Glarus region,"Glarus, Switzerland"
place_graubünden_switzerland,"Graubünden, Switzerland",canton of Graubünden,"Graubünden, Switzerland"
place_wädenswil_einsiedeln,Wädenswil-Einsiedeln,Wädenswil-Einsiedeln,
place_ricken_toggenburg,Ricken-Toggenburg,Ricken-Toggenburg,
place_lucerne_zug_gotthard,Lucerne-Zug (Gotthard),Lucerne-Zug (Gotthard),
place_basel_brugg,Basel-Brugg,Basel-Brugg,
place_western_switzerland_aarau_brugg,western Switzerland-Aarau-Brugg,western Switzerland-Aarau-Brugg,
place_old_town_zurich_switzerland,"Old Town, Zurich, Switzerland",old town,"Old Town, Zurich, Switzerland"
place_lake_zurich_zurich_switzerland,"Lake Zurich, Zurich, Switzerland",lake,"Lake Zurich, Zurich, Switzerland"
place_schanzengraben_zurich_switzerland,"Schanzengraben, Zurich, Switzerland",Schanzengraben,"Schanzengraben, Zurich, Switzerland"
place_seilergraben_hirschengraben,Seilergraben-Hirschengraben,Seilergraben-Hirschengraben,
place_bürkliplatz_zurich_switzerland,"Bürkliplatz, Zurich, Switzerland",Bürkliplatz,"Bürkliplatz, Zurich, Switzerland"
place_bahnhofstrasse_zurich_switzerland,"Bahnhofstrasse, Zurich, Switzerland",Bahnhofstrasse,"Bahnhofstrasse, Zurich, Switzerland"
place_zollikon_zurich_switzerland,"Zollikon, Zurich, Switzerland",Zollikon,"Zollikon, Zurich, Switzerland"
place_glärnisch_glarus_switzerland,"Glärnisch, Glarus, Switzerland",Glärnisch,"Glärnisch, Glarus, Switzerland"
place_vrenelisgärtli_glarus_switzerland,"Vrenelisgärtli, Glarus, Switzerland",Vrenelisgärtli,"Vrenelisgärtli, Glarus, Switzerland"
place_bächistock_glarus_switzerland,"Bächistock, Glarus, Switzerland",Bächistock,"Bächistock, Glarus, Switzerland"
place_faulen,Faulen,Faulen,
place_drusberg_canton_of_zurich_switzerland,"Drusberg, Canton of Zurich, Switzerland",Drusberg,"Drusberg, Canton of Zurich, Switzerland"
place_sihl_valley_zurich_switzerland,"Sihl Valley, Zurich, Switzerland",upper Sihl valley,"Sihl Valley, Zurich, Switzerland"
place_bifertenstock_glarus_switzerland,"Bifertenstock, Glarus, Switzerland",Bifertenstock,"Bifertenstock, Glarus, Switzerland"
place_tödi_glarus_switzerland,"Tödi, Glarus, Switzerland",Tödi,"Tödi, Glarus, Switzerland"
place_klariden_glarus_switzerland,"Klariden, Glarus, Switzerland",Klariden,"Klariden, Glarus, Switzerland"
place_scheerhorn_glarus_switzerland,"Scheerhorn, Glarus, Switzerland",Scheerhorn,"Scheerhorn, Glarus, Switzerland"
place_düssistock_glarus_switzerland,"Düssistock, Glarus, Switzerland",Düssistock,"Düssistock, Glarus, Switzerland"
place_mythen_schwyz_switzerland,"Mythen, Schwyz, Switzerland",Mythen,"Mythen, Schwyz, Switzerland"
place_windgällen_uri_switzerland,"Windgällen, Uri, Switzerland",Windgällen,"Windgällen, Uri, Switzerland"
place_kleinen_windgälle_uri_switzerland,"Kleinen Windgälle, Uri, Switzerland",Kleinen Windgälle,"Kleinen Windgälle, Uri, Switzerland"
place_kaiserstock_uri_switzerland,"Kaiserstock, Uri, Switzerland",Kaiserstock,"Kaiserstock, Uri, Switzerland"
place_rossberg_uri_switzerland,"Rossberg, Uri, Switzerland",Rossberg,"Rossberg, Uri, Switzerland"
place_bristenstock_uri_switzerland,"Bristenstock, Uri, Switzerland",Bristenstock,"Bristenstock, Uri, Switzerland"
place_western_urnäsch,western Urnäsch,western Urnäsch,
place_urirotstock,Urirotstock,Urirotstock,
place_schlossstock,Schlossstock,Schlossstock,
place_wissig,Wissig,Wissig,
place_hohen_ronen,Hohen Ronen,Hohen Ronen,
place_gottschalkenberg,Gottschalkenberg,Gottschalkenberg,
place_sihlwald_canton_of_zurich_switzerland,"Sihlwald, Canton of Zurich, Switzerland",Sihlwald,"Sihlwald, Canton of Zurich, Switzerland"
place_albis_canton_of_zurich_switzerland,"Albis, Canton of Zurich, Switzerland",Albis slope,"Albis, Canton of Zurich, Switzerland"
place_zimmerberg_canton_of_zurich_switzerland,"Zimmerberg, Canton of Zurich, Switzerland",Zimmerberg,"Zimmerberg, Canton of Zurich, Switzerland"
place_hütten_canton_of_zurich_switzerland,"Hütten, Canton of Zurich, Switzerland",Hütten,"Hütten, Canton of Zurich, Switzerland"
place_schindellegi_canton_of_zurich_switzerland,"Schindellegi, Canton of Zurich, Switzerland",Schindellegi,"Schindellegi, Canton of Zurich, Switzerland"
place_lake_zurich_canton_of_zurich_switzerland,"Lake Zurich, Canton of Zurich, Switzerland",lake,"Lake Zurich, Canton of Zurich, Switzerland"
place_quaibrücke_zürich_switzerland,"Quaibrücke, Zürich, Switzerland",Quaibrücke,"Quaibrücke, Zürich, Switzerland"
place_limmat_zürich_switzerland,"Limmat, Zürich, Switzerland",Limmat,"Limmat, Zürich, Switzerland"
place_zwingli_monument_zürich_switzerland,"Zwingli Monument, Zürich, Switzerland",Zwingli monument,"Zwingli Monument, Zürich, Switzerland"
place_wasserkirche_zürich_switzerland,"Wasserkirche, Zürich, Switzerland",Wasserkirche,"Wasserkirche, Zürich, Switzerland"
place_helmhaus_zürich_switzerland,"Helmhaus, Zürich, Switzerland",Helmhaus,"Helmhaus, Zürich, Switzerland"
place_münsterbrücke_zürich_switzerland,"Münsterbrücke, Zürich, Switzerland",Münsterbrücke,"Münsterbrücke, Zürich, Switzerland"
place_grossmünster_zürich_switzerland,"Grossmünster, Zürich, Switzerland",Grossmünster,"Grossmünster, Zürich, Switzerland"
place_cloister_upper_daughters_school,cloister (upper daughters' school),cloister (upper daughters' school),
place_limmatquai_zurich_switzerland,"Limmatquai, Zurich, Switzerland",Limmatquai,"Limmatquai, Zurich, Switzerland"
place_town_hall_zurich_switzerland,"Town Hall, Zurich, Switzerland",town hall,"Town Hall, Zurich, Switzerland"
place_münsterbrücke_zurich_switzerland,"Münsterbrücke, Zurich, Switzerland",Münsterbrücke,"Münsterbrücke, Zurich, Switzerland"
place_walenstadt_st_gallen_switzerland,"Walenstadt, St. Gallen, Switzerland",Wallenstadtsee,"Walenstadt, St. Gallen, Switzerland"
place_gotthard_pass_switzerland,"Gotthard Pass, Switzerland",Gotthard,"Gotthard Pass, Switzerland"
place_mellingen_aargau_switzerland,"Mellingen, Aargau, Switzerland",Mellingen,"Mellingen, Aargau, Switzerland"
place_quay,quay,quay,
place_fleischhalle_zurich_switzerland,"Fleischhalle, Zurich, Switzerland",Fleischhalle,"Fleischhalle, Zurich, Switzerland"
place_gemüsebrücke_zurich_switzerland,"Gemüsebrücke, Zurich, Switzerland",Gemüsebrücke,"Gemüsebrücke, Zurich, Switzerland"
place_marktgasse_zurich_switzerland,"Marktgasse, Zurich, Switzerland",Marktgasse,"Marktgasse, Zurich, Switzerland"
place_guild_house_zur_schmieden_zurich_switzerland,"Guild house zur Schmieden, Zurich, Switzerland",zur Schmieden,"Guild house zur Schmieden, Zurich, Switzerland"
place_rindermarkt_zurich_switzerland,"Rindermarkt, Zurich, Switzerland",Rindermarkt,"Rindermarkt, Zurich, Switzerland"
place_stüssihofstatt_zurich_switzerland,"Stüssihofstatt, Zurich, Switzerland",Stüssihofstatt,"Stüssihofstatt, Zurich, Switzerland"
place_niederdorf_zurich_switzerland,"Niederdorf, Zurich, Switzerland",Niederdorf,"Niederdorf, Zurich, Switzerland"
place_leonhardplatz_zurich_switzerland,"Leonhardplatz, Zurich, Switzerland",Leonhardplatz,"Leonhardplatz, Zurich, Switzerland"
place_bahnhofbrücke_zurich_switzerland,"Bahnhofbrücke, Zurich, Switzerland",Bahnhofbrücke,"Bahnhofbrücke, Zurich, Switzerland"
place_limmat,Limmat,Limmat,
place_sihl,Sihl,Sihl,
place_zurich_hauptbahnhof_zurich_switzerland,"Zurich Hauptbahnhof, Zurich, Switzerland",Zurich station,"Zurich Hauptbahnhof, Zurich, Switzerland"
place_plaza_promenade_behind_the_station,plaza promenade behind the station,plaza promenade behind the station,
place_swiss_national_museum_zurich_switzerland,"Swiss National Museum, Zurich, Switzerland",National Museum,"Swiss National Museum, Zurich, Switzerland"
place_confluence_of_limmat_and_sihl_zurich_switzerland,"Confluence of Limmat and Sihl, Zurich, Switzerland",confluence of the Limmat and Sihl,"Confluence of Limmat and Sihl, Zurich, Switzerland"
place_station,station,station,
place_right_bank_zurich_switzerland,"Right Bank, Zurich, Switzerland",right bank,"Right Bank, Zurich, Switzerland"
place_oetenbach_zurich_switzerland,"Oetenbach, Zurich, Switzerland",moraine hill quarter of Oetenbach,"Oetenbach, Zurich, Switzerland"
place_rennweg_zurich_switzerland,"Rennweg, Zurich, Switzerland",Rennweg,"Rennweg, Zurich, Switzerland"
place_lindenhof_zurich_switzerland,"Lindenhof, Zurich, Switzerland",Lindenhof,"Lindenhof, Zurich, Switzerland"
place_strohhof_zurich_switzerland,"Strohhof, Zurich, Switzerland",Strohhof,"Strohhof, Zurich, Switzerland"
place_st_anna_zurich_switzerland,"St. Anna, Zurich, Switzerland",St. Anna,"St. Anna, Zurich, Switzerland"
place_katz_botanical_garden_zurich_switzerland,"Katz Botanical Garden, Zurich, Switzerland",Katz (botanical garden),"Katz Botanical Garden, Zurich, Switzerland"
place_paradeplatz_zurich_switzerland,"Paradeplatz, Zurich, Switzerland",Paradeplatz,"Paradeplatz, Zurich, Switzerland"
place_linth_escher_school_zurich_switzerland,"Linth-Escher School, Zurich, Switzerland",Linth Escher school,"Linth-Escher School, Zurich, Switzerland"
place_pestalozzi_memorial_zurich_switzerland,"Pestalozzi Memorial, Zurich, Switzerland",Pestalozzi memorial,"Pestalozzi Memorial, Zurich, Switzerland"
place_central_and_kappelerhof,central and Kappelerhof,central and Kappelerhof,
place_zurich_stock_exchange_zurich_switzerland,"Zurich Stock Exchange, Zurich, Switzerland",stock exchange,"Zurich Stock Exchange, Zurich, Switzerland"
place_swiss_bankers_association_zurich_switzerland,"Swiss Bankers Association, Zurich, Switzerland",Swiss Bank Association,"Swiss Bankers Association, Zurich, Switzerland"
place_swiss_credit_institution,Swiss Credit Institution,Swiss Credit Institution,
place_bank_leu_zurich_switzerland,"Bank Leu, Zurich, Switzerland",Bank Leu,"Bank Leu, Zurich, Switzerland"
place_zurich_cantonal_bank_zurich_switzerland,"Zurich Cantonal Bank, Zurich, Switzerland",Zurich Cantonal Bank,"Zurich Cantonal Bank, Zurich, Switzerland"
place_federal_bank,federal bank,federal bank,
place_swiss_people_s_bank,Swiss People's Bank,Swiss People's Bank,
place_augustinergasse_zurich_switzerland,"Augustinergasse, Zurich, Switzerland",Augustinergasse,"Augustinergasse, Zurich, Switzerland"
place_alpenquai_zurich_switzerland,"Alpenquai, Zurich, Switzerland",Alpenquai,"Alpenquai, Zurich, Switzerland"
place_linth_glacier_switzerland,"Linth Glacier, Switzerland",Linth glacier,"Linth Glacier, Switzerland"
place_walensee_switzerland,"Walensee, Switzerland",Walensee,"Walensee, Switzerland"
place_speer_switzerland,"Speer, Switzerland",Speer,"Speer, Switzerland"
place_glärnisch_switzerland,"Glärnisch, Switzerland",Glärnisch,"Glärnisch, Switzerland"
place_zurich_trocadero_zurich_switzerland,"Zurich Trocadero, Zurich, Switzerland",Zurich Trocadero,"Zurich Trocadero, Zurich, Switzerland"
place_red_castle,Red Castle,Red Castle,
place_white_castle,White Castle,White Castle,
place_building_of_the_swiss_pension_institution,building of the Swiss pension institution,building of the Swiss pension institution,
place_gabler,Gabler,Gabler,
place_bürgli,Bürgli,Bürgli,
place_outer_moraine_parallel_ridge_beyond_waffenplatzstrasse,outer moraine parallel ridge beyond Waffenplatzstrasse,outer moraine parallel ridge beyond Waffenplatzstrasse,
place_waffenplatzstrasse,Waffenplatzstrasse,Waffenplatzstrasse,
place_zimmerberg_zurich_switzerland,"Zimmerberg, Zurich, Switzerland",Zimmerberg,"Zimmerberg, Zurich, Switzerland"
place_albiskette_zurich_switzerland,"Albiskette, Zurich, Switzerland",Albiskette,"Albiskette, Zurich, Switzerland"
place_commons_the_federal_weapons_place_of_the_city,commons (the federal weapons place) of the city,commons (the federal weapons place) of the city,
place_utoquai_bridge_zurich_switzerland,"Utoquai Bridge, Zurich, Switzerland",Uto bridge,"Utoquai Bridge, Zurich, Switzerland"
place_albisgütli_zurich_switzerland,"Albisgütli, Zurich, Switzerland",Albisgütli shooting house,"Albisgütli, Zurich, Switzerland"
place_theresienwiese_munich_germany,"Theresienwiese, Munich, Germany",Theresienwiese,"Theresienwiese, Munich, Germany"
place_old_albisgütli,old Albisgütli,old Albisgütli,
place_uetliberg_railway,Uetliberg railway,Uetliberg railway,
place_large_brick_and_brickworks,large brick and brickworks,large brick and brickworks,
place_large_clay_pits,large clay pits,large clay pits,
place_industrial_district_zurich_switzerland,"Industrial district, Zurich, Switzerland",industrial city district,"Industrial district, Zurich, Switzerland"
place_sihl_canal_zurich_switzerland,"Sihl Canal, Zurich, Switzerland",Sihl canal,"Sihl Canal, Zurich, Switzerland"
place_sihlhölzli_zurich_switzerland,"Sihlhölzli, Zurich, Switzerland",Sihlhölzli,"Sihlhölzli, Zurich, Switzerland"
place_bühl_schools,Bühl schools,Bühl schools,
place_left_bank_lake_railway,left-bank lake railway,left-bank lake railway,
place_zurich_main_station_zurich_switzerland,"Zurich main station, Zurich, Switzerland",main station,"Zurich main station, Zurich, Switzerland"
place_stauffacher_bridge_zurich_switzerland,"Stauffacher Bridge, Zurich, Switzerland",Stauffacher bridge,"Stauffacher Bridge, Zurich, Switzerland"
place_sihl_bridge_zurich_switzerland,"Sihl Bridge, Zurich, Switzerland",Sihl bridge,"Sihl Bridge, Zurich, Switzerland"
place_badenerstrasse_zurich_switzerland,"Badenerstrasse, Zurich, Switzerland",Badenerstrasse,"Badenerstrasse, Zurich, Switzerland"
place_st_jakob_church_zurich_switzerland,"St. Jakob Church, Zurich, Switzerland",St. Jakob's church,"St. Jakob Church, Zurich, Switzerland"
place_barracks_area_with_arsenal,barracks area with arsenal,barracks area with arsenal,
place_langstrasse_zurich_switzerland,"Langstrasse, Zurich, Switzerland",Langstrasse,"Langstrasse, Zurich, Switzerland"
place_limmatplatz_zurich_switzerland,"Limmatplatz, Zurich, Switzerland",Limmatplatz,"Limmatplatz, Zurich, Switzerland"
place_industrial_district_north_of_the_railway,industrial district north of the railway,industrial district north of the railway,
place_st_john_s_church,St. John’s church,St. John’s church,
place_right_lake_shore,right lake shore,right lake shore,
place_lettentunnel_at_stadelhofen,Lettentunnel at Stadelhofen,Lettentunnel at Stadelhofen,
place_sihlquai_zurich_switzerland,"Sihlquai, Zurich, Switzerland",left Sihl bank (Sihlquai),"Sihlquai, Zurich, Switzerland"
place_escher_wyss_co,Escher-Wyss & Co.,Escher-Wyss & Co.,
place_steinfels_soap_factory,Steinfels soap factory,Steinfels soap factory,
place_joint_stock_brewery,joint-stock brewery,joint-stock brewery,
place_city_mill,city mill,city mill,
place_letten_station_zurich_switzerland,"Letten station, Zurich, Switzerland",Letten station,"Letten station, Zurich, Switzerland"
place_former_gasworks,former gasworks,former gasworks,
place_wipkinger_bridge_zurich_switzerland,"Wipkinger Bridge, Zurich, Switzerland",Wipkinger bridge,"Wipkinger Bridge, Zurich, Switzerland"
place_limmat_valley_zurich_switzerland,"Limmat Valley, Zurich, Switzerland",Limmat valley,"Limmat Valley, Zurich, Switzerland"
place_höngg_zurich_switzerland,"Höngg, Zurich, Switzerland",village of Hoengg,"Höngg, Zurich, Switzerland"
place_right_bank_of_limmat_zurich_switzerland,"Right bank of Limmat, Zurich, Switzerland",right Limmat bank,"Right bank of Limmat, Zurich, Switzerland"
place_district_4_zurich_switzerland,"District 4, Zurich, Switzerland",fourth city district,"District 4, Zurich, Switzerland"
place_röschibachstrasse_zurich_switzerland,"Röschibachstrasse, Zurich, Switzerland",Röschibachstrasse,"Röschibachstrasse, Zurich, Switzerland"
place_nordstrasse_zurich_switzerland,"Nordstrasse, Zurich, Switzerland",Nordstrasse,"Nordstrasse, Zurich, Switzerland"
place_rotbuchstrasse_zurich_switzerland,"Rotbuchstrasse, Zurich, Switzerland",Rotbuchstrasse,"Rotbuchstrasse, Zurich, Switzerland"
place_rötel,Rötel,Rötel,
place_oerlikon_seebacher_tramway,Oerlikon-Seebacher tramway,Oerlikon-Seebacher tramway,
place_weinbergstrasse_zurich_switzerland,"Weinbergstrasse, Zurich, Switzerland",Weinbergstrasse,"Weinbergstrasse, Zurich, Switzerland"
place_leonhardsplatz_zurich_switzerland,"Leonhardsplatz, Zurich, Switzerland",Leonhardsplatz,"Leonhardsplatz, Zurich, Switzerland"
place_the_church,the church,the church,
place_the_schools,the schools,the schools,
place_riedlistrasse,Riedlistrasse,Riedlistrasse,
place_höhenstrasse,Höhenstrasse,Höhenstrasse,
place_rigi_quarter,Rigi quarter,Rigi quarter,
place_limmat_river_switzerland,"Limmat River, Switzerland",Limmat,"Limmat River, Switzerland"
place_sihl_river_switzerland,"Sihl River, Switzerland",Sihl,"Sihl River, Switzerland"
place_universities_zurich_switzerland,"Universities, Zurich, Switzerland",cantonal and federal universities,"Universities, Zurich, Switzerland"
place_eth_zurich_zurich_switzerland,"ETH Zurich, Zurich, Switzerland",Swiss Federal Polytechnic School,"ETH Zurich, Zurich, Switzerland"
place_university_complex,university complex,university complex,
place_university_of_zurich_zurich_switzerland,"University of Zurich, Zurich, Switzerland",University,"University of Zurich, Zurich, Switzerland"
place_old_chemical_laboratory_hygienic_institute,old chemical laboratory (hygienic institute),old chemical laboratory (hygienic institute),
place_federal_materials_testing_institute,federal materials testing institute,federal materials testing institute,
place_federal_testing_institute_for_fuels,federal testing institute for fuels,federal testing institute for fuels,
place_federal_machine_laboratory,federal machine laboratory,federal machine laboratory,
place_federal_chemical_laboratories,federal chemical laboratories,federal chemical laboratories,
place_swiss_agricultural_chemical_institute_and_seed_control_station,Swiss agricultural chemical institute and seed control station,Swiss agricultural chemical institute and seed control station,
place_federal_central_office_for_forestry_research,federal central office for forestry research,federal central office for forestry research,
place_agricultural_and_forestry_school,agricultural and forestry school,agricultural and forestry school,
place_federal_observatory,federal observatory,federal observatory,
place_federal_physics_building,federal physics building,federal physics building,
place_swiss_meteorological_central_institute,Swiss meteorological central institute,Swiss meteorological central institute,
place_cantonal_hospital,cantonal hospital,cantonal hospital,
place_laboratory_of_the_cantonal_chemist_and_dental_polyclinic,laboratory of the cantonal chemist and dental polyclinic,laboratory of the cantonal chemist and dental polyclinic,
place_anatomy,anatomy,anatomy,
place_isolation_hospital,isolation hospital,isolation hospital,
place_pathological_institute,pathological institute,pathological institute,
place_eye_clinic,eye clinic,eye clinic,
place_blind_and_deaf_mute_institute,blind and deaf-mute institute,blind and deaf-mute institute,
place_cantonal_physics_and_physiology_building,cantonal physics and physiology building,cantonal physics and physiology building,
place_cantonal_chemical_laboratories_of_the_university,cantonal chemical laboratories of the University,cantonal chemical laboratories of the University,
place_new_cantonal_school_building,new cantonal school building,new cantonal school building,
place_old_cantonal_school_on_rämistrasse,old cantonal school on Rämistrasse,old cantonal school on Rämistrasse,
place_wolfbach_schoolhouse,Wolfbach schoolhouse,Wolfbach schoolhouse,
place_music_conservatory_in_florhofgasse,music conservatory in Florhofgasse,music conservatory in Florhofgasse,
place_hirschengraben_schoolhouse,Hirschengraben schoolhouse,Hirschengraben schoolhouse,
place_collegiate_building_at_rechberg,collegiate building at Rechberg,collegiate building at Rechberg,
place_höhen_and_bergstrasse,Höhen- and Bergstrasse,Höhen- and Bergstrasse,
place_dolder_forest_house_zurich_switzerland,"Dolder Forest House, Zurich, Switzerland",Dolder Forest House,"Dolder Forest House, Zurich, Switzerland"
