attribute_id,type
Zurich_a266,population_count
Zurich_a267,population_count
Zurich_a268,population_count
Zurich_a269,population_count
Zurich_a270,population_count
Zurich_a271,population_count
Zurich_a272,population_count
Zurich_a273,population_count
Zurich_a274,population_count
Zurich_a275,other
Zurich_a276,other
Zurich_a277,other
Zurich_a278,other
Zurich_a279,population_count
Zurich_a280,population_count
Zurich_a281,population_count
Zurich_a282,population_count
Zurich_a283,population_count
Zurich_a284,population_count
Zurich_a285,other
Zurich_a286,other
Zurich_a287,population_count
Zurich_a288,population_count
Zurich_a289,other
Zurich_a290,other
Zurich_a291,other
Zurich_a292,other
Zurich_a293,other
Zurich_a294,other
Zurich_a295,coordinates
Zurich_a296,elevation
Zurich_a297,elevation
Zurich_a298,elevation
Zurich_a299,length
Zurich_a300,gradient
Zurich_a301,elevation
Zurich_a302,other
Zurich_a303,area
Zurich_a304,other
Zurich_a305,population_count
Zurich_a306,population_count
Zurich_a307,population_count
Zurich_a308,population_count
Zurich_a309,population_count
Zurich_a310,population_count
Zurich_a311,population_count
Zurich_a312,population_count
Zurich_a313,population_count
Zurich_a314,population_count
Zurich_a315,population_count
Zurich_a316,population_count
Zurich_a317,population_count
Zurich_a318,population_count
Zurich_a319,population_count
Zurich_a320,population_count
Zurich_a321,population_count
Zurich_a322,population_count
Zurich_a323,population_count
Zurich_a324,population_count
Zurich_a325,population_count
Zurich_a326,population_count
Zurich_a327,population_count
Zurich_a328,population_count
Zurich_a329,population_count
Zurich_a330,population_count
Zurich_a331,population_count
Zurich_a332,population_count
Zurich_a333,population_count
Zurich_a334,population_count
Zurich_a335,population_count
Zurich_a336,population_count
Zurich_a337,population_count
Zurich_a338,population_count
Zurich_a339,population_count
Zurich_a340,population_count
Zurich_a341,population_count
Zurich_a342,population_count
Zurich_a343,population_count
Zurich_a344,population_count
Zurich_a345,population_count
Zurich_a346,population_count
Zurich_a347,population_count
Zurich_a348,population_count
Zurich_a349,population_count
Zurich_a350,population_count
Zurich_a351,population_count
Zurich_a352,population_count
Zurich_a353,population_count
Zurich_a354,population_count
Zurich_a355,population_count
Zurich_a356,population_count
Zurich_a357,population_count
Zurich_a358,population_count
Zurich_a359,population_count
Zurich_a360,population_count
Zurich_a361,population_count
Zurich_a362,population_count
Zurich_a363,population_count
Zurich_a364,population_count
Zurich_a365,population_count
Zurich_a366,population_count
Zurich_a367,population_count
Zurich_a368,population_count
Zurich_a369,population_count
Zurich_a370,population_count
Zurich_a371,population_count
Zurich_a372,population_count
Zurich_a373,population_count
Zurich_a374,population_count
Zurich_a375,population_count
Zurich_a376,population_count
Zurich_a377,population_count
Zurich_a378,population_count
Zurich_a379,population_count
Zurich_a380,population_count
Zurich_a381,population_count
Zurich_a382,population_count
Zurich_a383,population_count
Zurich_a384,population_count
Zurich_a385,population_count
Zurich_a386,population_count
Zurich_a387,population_count
Zurich_a388,population_count
Zurich_a389,population_count
Zurich_a390,population_count
Zurich_a391,population_count
Zurich_a392,population_count
Zurich_a393,population_count
Zurich_a394,population_count
Zurich_a395,population_count
Zurich_a396,population_count
Zurich_a397,population_count
Zurich_a398,population_count
Zurich_a399,population_count
Genf_a1,other
Genf_a2,other
Genf_a3,population_count
Genf_a4,population_count
Genf_a5,population_count
Genf_a6,other
Genf_a7,population_count
Genf_a8,population_count
Genf_a9,population_count
Genf_a10,population_count
Genf_a11,population_count
Genf_a12,population_count
Genf_a13,population_count
Genf_a14,population_count
Genf_a15,other
Genf_a16,other
Genf_a17,population_count
Genf_a18,population_count
Genf_a19,population_count
Genf_a20,population_count
Genf_a21,population_count
Genf_a22,population_count
Genf_a23,population_count
Genf_a24,population_count
Genf_a25,population_count
Genf_a26,population_count
Genf_a27,population_count
Genf_a28,population_count
Genf_a29,population_count
Genf_a30,population_count
Genf_a31,population_count
Genf_a32,population_count
Genf_a33,population_count
Genf_a34,population_count
Genf_a35,population_count
Genf_a36,population_count
Genf_a37,population_count
Genf_a38,population_count
Genf_a39,population_count
Genf_a40,population_count
Genf_a41,population_count
Genf_a42,population_count
Genf_a43,population_count
Genf_a44,population_count
Genf_a45,population_count
Genf_a46,population_count
Genf_a47,population_count
Genf_a48,population_count
Genf_a49,population_count
Genf_a50,population_count
Genf_a51,population_count
Genf_a52,population_count
Genf_a53,population_count
Genf_a54,population_count
Genf_a55,population_count
Genf_a56,population_count
Genf_a57,population_count
Genf_a58,population_count
Genf_a59,population_count
Genf_a60,population_count
Genf_a61,population_count
Genf_a62,population_count
Genf_a63,population_count
Genf_a64,population_count
Genf_a65,population_count
Genf_a66,population_count
Genf_a67,population_count
Genf_a68,population_count
Genf_a69,population_count
Genf_a70,population_count
Genf_a71,population_count
Genf_a72,population_count
Genf_a73,population_count
Lausanne_a1,elevation
Lausanne_a2,elevation
Lausanne_a3,other
Lausanne_a4,area
Lausanne_a5,area
Lausanne_a6,area
Lausanne_a7,other
Lausanne_a8,other
Lausanne_a9,other
Lausanne_a10,population_count
Lausanne_a11,population_count
Lausanne_a12,population_count
Lausanne_a13,population_count
Lausanne_a14,population_density
Lausanne_a15,population_density
Lausanne_a16,population_density
Lausanne_a17,population_density
Lausanne_a18,population_density
Lausanne_a19,population_density
Lausanne_a20,other
Lausanne_a21,population_count
Lausanne_a22,other
Lausanne_a23,other
Lausanne_a24,population_count
Lausanne_a25,population_count
Lausanne_a26,population_count
Lausanne_a27,population_count
Lausanne_a28,population_count
Lausanne_a29,population_count
Lausanne_a30,population_count
Lausanne_a31,population_count
Lausanne_a32,population_count
Lausanne_a33,population_count
Lausanne_a34,population_count
Lausanne_a35,population_count
Lausanne_a36,population_count
Lausanne_a37,population_count
Lausanne_a38,population_count
Lausanne_a39,population_count
Lausanne_a40,population_count
Lausanne_a41,population_count
Lausanne_a42,population_count
Lausanne_a43,population_count
Lausanne_a44,population_count
Lausanne_a45,population_count
Lausanne_a46,population_count
Lausanne_a47,population_count
Lausanne_a48,population_count
Lausanne_a49,population_count
Lausanne_a50,population_count
Lausanne_a51,population_count
Lausanne_a52,population_count
Lausanne_a53,population_count
Lausanne_a54,population_count
Lausanne_a55,population_count
Lausanne_a56,population_count
Lausanne_a57,population_count
Lausanne_a58,population_count
Lausanne_a59,population_count
Lausanne_a60,population_count
Lausanne_a61,population_count
Lausanne_a62,population_count
Lausanne_a63,population_count
Lausanne_a64,population_count
Lausanne_a65,population_count
Lausanne_a66,population_count
Lausanne_a67,population_count
Lausanne_a68,population_count
Lausanne_a69,population_count
Lausanne_a70,population_count
Lausanne_a71,population_count
Lausanne_a72,population_count
Lausanne_a73,population_count
Lausanne_a74,population_count
Lausanne_a75,population_count
Lausanne_a76,population_count
Lausanne_a77,population_count
Lausanne_a78,population_count
Lausanne_a79,population_count
Lausanne_a80,population_count
Lausanne_a81,population_count
Lausanne_a82,population_count
Lausanne_a83,population_count
Lausanne_a84,population_count
Lausanne_a85,population_count
Lausanne_a86,population_count
Lausanne_a87,population_count
Lausanne_a88,population_count
Lausanne_a89,population_count
Lausanne_a90,population_count
Lausanne_a91,population_count
Lausanne_a92,other
Lausanne_a93,other
