event_id,place
Zurich_e14,Glatt valley side of the Zurichberg
Zurich_e14,"Käferberg, Zurich, Switzerland"
Zurich_e14,"Milchbuck, Zurich, Switzerland"
Zurich_e15,Hardturm
Zurich_e15,"Limmat, Zurich, Switzerland"
Zurich_e15,Hoengger bridge
Zurich_e16,"Limmat, Zurich, Switzerland"
Zurich_e17,Triemli
Zurich_e18,Döltschi
Zurich_e18,Uto
Zurich_e18,Hotel Uetliberg
Zurich_e19,"Zurich, Switzerland"
Zurich_e19,"Uetliberg, Zurich, Switzerland"
Zurich_e19,"Zurichberg, Zurich, Switzerland"
Zurich_e19,"Käferberg, Zurich, Switzerland"
Zurich_e20,"Zurich, Switzerland"
Zurich_e20,"Wollishofen, Zurich, Switzerland"
Zurich_e20,"Enge, Zurich, Switzerland"
Zurich_e20,"Wiedikon, Zurich, Switzerland"
Zurich_e20,"Aussersihl, Zurich, Switzerland"
Zurich_e20,"Wipkingen, Zurich, Switzerland"
Zurich_e20,"Unterstrass, Zurich, Switzerland"
Zurich_e20,"Oberstrass, Zurich, Switzerland"
Zurich_e20,"Fluntern, Zurich, Switzerland"
Zurich_e20,"Hottingen, Zurich, Switzerland"
Zurich_e20,"Hirslanden, Zurich, Switzerland"
Zurich_e20,"Riesbach, Zurich, Switzerland"
Zurich_e21,"Zurich, Switzerland"
Zurich_e22,"Zurich, Switzerland"
Zurich_e23,left bank
Zurich_e23,right bank
Zurich_e24,left bank
Zurich_e24,right bank
Zurich_e25,left bank
Zurich_e25,right bank
Zurich_e26,"Zurichhorn, Zurich, Switzerland"
Zurich_e26,Hornbach
Zurich_e26,"Lake Zurich, Switzerland"
Zurich_e27,"Lake Zurich, Switzerland"
Zurich_e28,left bank
Zurich_e28,right bank
Zurich_e28,"Lake Zurich, Switzerland"
Zurich_e29,"Belvoir Park, Zurich, Switzerland"
Zurich_e29,"Enge, Zurich, Switzerland"
Zurich_e30,"Zurichberg, Zurich, Switzerland"
Zurich_e30,Hirslanderberg
Zurich_e30,"Rigiquartier, Zurich, Switzerland"
Zurich_e31,"Sihl, Switzerland"
Zurich_e31,"Uetliberg, Zurich, Switzerland"
Zurich_e32,the summit
Zurich_e33,"Zurichberg, Zurich, Switzerland"
Zurich_e34,"Grossmünster, Zurich, Switzerland"
Zurich_e34,"Fraumünster, Zurich, Switzerland"
Zurich_e34,"Tonhalle, Zurich, Switzerland"
Zurich_e35,Red and White Castles
Zurich_e35,Rentenanstalt
Zurich_e35,Unfall Zürich
Zurich_e35,city theatre
Zurich_e35,Uto castle
Zurich_e36,"Limmat, Zurich, Switzerland"
Zurich_e36,"Quaibrücke, Zurich, Switzerland"
Zurich_e37,"St. Peter's Church, Zurich, Switzerland"
Zurich_e38,"Uetliberg, Zurich, Switzerland"
Zurich_e38,"Urania Observatory, Zurich, Switzerland"
Zurich_e38,"Tonhalle, Zurich, Switzerland"
Zurich_e38,"Lake Zurich, Switzerland"
Zurich_e39,lake
Zurich_e39,river
Zurich_e40,the lake
Zurich_e41,the lake
Zurich_e41,the outlet
Zurich_e42,the moraine ridge
Zurich_e43,the higher mountains east and west
Zurich_e44,"Zurich, Switzerland"
Zurich_e44,Swiss Alps
Zurich_e44,Rhine River
Zurich_e45,"Zurich, Switzerland"
Zurich_e46,"Zurich, Switzerland"
Zurich_e47,"Zurich, Switzerland"
Zurich_e48,"Zurich, Switzerland"
Zurich_e48,"Baden, Switzerland"
Zurich_e49,"Zurich, Switzerland"
Zurich_e49,"Schaffhausen, Switzerland"
Zurich_e49,"Winterthur, Switzerland"
Zurich_e49,Romanshorn-Frauenfeld
Zurich_e49,Singen-Etzwilen
Zurich_e49,"St. Gallen, Switzerland"
Zurich_e49,"Glatt Valley, Switzerland"
Zurich_e49,right and left lake shores
Zurich_e49,"Glarus, Switzerland"
Zurich_e49,"Graubünden, Switzerland"
Zurich_e49,"Arlberg, Austria"
Zurich_e49,Wädenswil-Einsiedeln
Zurich_e49,Ricken-Toggenburg
Zurich_e49,Lucerne-Zug (Gotthard)
Zurich_e49,Basel-Brugg
Zurich_e49,western Switzerland-Aarau-Brugg
Zurich_e50,"Zurich, Switzerland"
Zurich_e51,"Zurich, Switzerland"
Zurich_e52,"Schanzengraben, Zurich, Switzerland"
Zurich_e52,"Left bank of Limmat River, Zurich, Switzerland"
Zurich_e53,"Seilergraben and Hirschengraben, Zurich, Switzerland"
Zurich_e53,"Right bank of Limmat River, Zurich, Switzerland"
Zurich_e54,"Bürkliplatz, Zurich, Switzerland"
Zurich_e55,"Quaibrücke, Zurich, Switzerland"
Zurich_e55,"Lake Zurich, Switzerland"
Zurich_e56,lake
Zurich_e57,"Zollikon, Zurich, Switzerland"
Zurich_e57,"Glärnisch, Glarus, Switzerland"
Zurich_e57,"Vrenelisgärtli, Glarus, Switzerland"
Zurich_e57,"Bächistock, Glarus, Switzerland"
Zurich_e58,Faulen
Zurich_e58,"Drusberg, Zurich, Switzerland"
Zurich_e58,"Sihl Valley, Zurich, Switzerland"
Zurich_e58,"Bifertenstock, Glarus, Switzerland"
Zurich_e58,"Tödi, Glarus, Switzerland"
Zurich_e58,"Klariden, Glarus, Switzerland"
Zurich_e58,"Scheerhorn, Glarus, Switzerland"
Zurich_e58,"Düssistock, Glarus, Switzerland"
Zurich_e59,"Mythen, Schwyz, Switzerland"
Zurich_e60,"Mythen, Schwyz, Switzerland"
Zurich_e60,"Windgällen, Uri, Switzerland"
Zurich_e60,"Kleinen Windgälle, Uri, Switzerland"
Zurich_e61,"Kaiserstock, Uri, Switzerland"
Zurich_e61,"Rossberg, Uri, Switzerland"
Zurich_e61,"Bristenstock, Uri, Switzerland"
Zurich_e62,"Lake Zurich, Switzerland"
Zurich_e63,"Lake Zurich, Switzerland"
Zurich_e64,"Lake Zurich, Switzerland"
Zurich_e65,former ferry landing square
Zurich_e65,Zwingli monument
Zurich_e65,"Wasserkirche, Zurich, Switzerland"
Zurich_e66,"Grossmünster, Zurich, Switzerland"
Zurich_e67,town hall
Zurich_e68,town hall
Zurich_e69,town hall
Zurich_e70,town hall
Zurich_e71,"Zurich, Switzerland"
Zurich_e72,"St. Peter's Church, Zurich, Switzerland"
Zurich_e72,"Zurich, Switzerland"
Zurich_e73,"Fraumünster, Zurich, Switzerland"
Zurich_e73,"Zurich, Switzerland"
Zurich_e74,Münsterbrücke
Zurich_e75,Münsterbrücke
Zurich_e75,river
Zurich_e76,Münsterbrücke
Zurich_e76,"Zurich, Switzerland"
Zurich_e77,"Marktgasse, Zürich, Switzerland"
Zurich_e78,"Stüssihofstatt, Zürich, Switzerland"
Zurich_e79,"Bahnhofbrücke, Zürich, Switzerland"
Zurich_e80,"Zurich, Switzerland"
Zurich_e81,"Zurich, Switzerland"
Zurich_e81,"Swiss National Museum, Zurich, Switzerland"
Zurich_e82,"Helmhaus, Zurich, Switzerland"
Zurich_e83,"Swiss National Museum, Zurich, Switzerland"
Zurich_e84,"Swiss National Museum, Zurich, Switzerland"
Zurich_e85,"Swiss National Museum, Zurich, Switzerland"
Zurich_e86,"Zurich Hauptbahnhof, Zurich, Switzerland"
Zurich_e87,"Zurich Hauptbahnhof, Zurich, Switzerland"
Zurich_e87,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e88,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e89,"Paradeplatz, Zurich, Switzerland"
Zurich_e89,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e90,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e90,"Oetenbach, Zurich, Switzerland"
Zurich_e90,"Uraniastrasse, Zurich, Switzerland"
Zurich_e90,"Rennweg, Zurich, Switzerland"
Zurich_e90,"Lindenhof, Zurich, Switzerland"
Zurich_e90,"Strohhof, Zurich, Switzerland"
Zurich_e90,"St. Anna, Zurich, Switzerland"
Zurich_e90,"Botanical Garden, Zurich, Switzerland"
Zurich_e91,"Alpenquai, Zurich, Switzerland"
Zurich_e92,"Zurich, Switzerland"
Zurich_e93,"Zurich, Switzerland"
Zurich_e94,"Zurich, Switzerland"
Zurich_e95,"Belvoirpark, Zurich, Switzerland"
Zurich_e96,"Albisgütli, Zurich, Switzerland"
Zurich_e97,old Albisgütli
Zurich_e97,"Uetliberg, Zurich, Switzerland"
Zurich_e98,"Uetliberg, Zurich, Switzerland"
Zurich_e99,"Sihlhölzli, Zurich, Switzerland"
Zurich_e100,Bühl
Zurich_e100,"Wiedikon, Zurich, Switzerland"
Zurich_e101,"Wiedikon, Zurich, Switzerland"
Zurich_e101,"Aussersihl, Zurich, Switzerland"
Zurich_e102,left-bank lake railway
Zurich_e102,Zurich main station
Zurich_e102,"Aussersihl, Zurich, Switzerland"
Zurich_e103,"St. Jakob's Church, Zurich, Switzerland"
Zurich_e104,"Zurichberg, Zurich, Switzerland"
Zurich_e104,"Uetliberg, Zurich, Switzerland"
Zurich_e105,"Zurich, Switzerland"
Zurich_e106,"Zurich, Switzerland"
Zurich_e106,main station
Zurich_e107,"Limmatplatz, Zurich, Switzerland"
Zurich_e107,industrial district north of the railway
Zurich_e108,industrial district north of the railway
Zurich_e109,"Oerlikon, Zurich, Switzerland"
Zurich_e109,right lake shore
Zurich_e109,Lettentunnel at Stadelhofen
Zurich_e110,"Sihlquai, Zurich, Switzerland"
Zurich_e110,"Zurich main station, Zurich, Switzerland"
Zurich_e111,municipal filter plants for drinking water
Zurich_e111,"Sihlquai, Zurich, Switzerland"
Zurich_e112,"Limmat River, Zurich, Switzerland"
Zurich_e112,"Letten station, Zurich, Switzerland"
Zurich_e113,former gasworks
Zurich_e114,"Wipkinger Bridge, Zurich, Switzerland"
Zurich_e114,"Limmat Valley, Zurich, Switzerland"
Zurich_e114,"Höngg, Zurich, Switzerland"
Zurich_e114,"Käferberg, Zurich, Switzerland"
Zurich_e115,"Right bank of Limmat River, Zurich, Switzerland"
Zurich_e115,"District 4, Zurich, Switzerland"
Zurich_e115,"Wipkingen, Zurich, Switzerland"
Zurich_e115,"Röschibachstrasse, Zurich, Switzerland"
Zurich_e115,"Nordstrasse, Zurich, Switzerland"
Zurich_e115,"Rotbuchstrasse, Zurich, Switzerland"
Zurich_e115,Rötel
Zurich_e116,Rötel
Zurich_e117,Oerlikon-Seebacher tramway
Zurich_e117,"Weinbergstrasse, Zurich, Switzerland"
Zurich_e117,"Unterstrass, Zurich, Switzerland"
Zurich_e117,"Leonhardsplatz, Zurich, Switzerland"
Zurich_e118,"Wiedikon, Zurich, Switzerland"
Zurich_e119,Rigi quarter
Zurich_e120,"Zurich, Switzerland"
Zurich_e121,"Zurich, Switzerland"
Zurich_e122,"Schlieren, Zurich, Switzerland"
Zurich_e123,"Zurich, Switzerland"
Zurich_e123,Lake Zurich
Zurich_e123,"Limmat River, Zurich, Switzerland"
Zurich_e123,"Sihl River, Zurich, Switzerland"
Zurich_e124,"Zurich, Switzerland"
Zurich_e124,"Uetliberg, Zurich, Switzerland"
Zurich_e124,"Zurichberg, Zurich, Switzerland"
Zurich_e125,"Zurich, Switzerland"
Zurich_e125,Lake Zurich
Zurich_e125,"Sihl River, Zurich, Switzerland"
Zurich_e126,"Zurich, Switzerland"
Zurich_e127,"ETH Zurich, Switzerland"
Zurich_e128,the university complex
Zurich_e129,the university complex
Zurich_e130,federal machine laboratory
Zurich_e131,federal chemical laboratories
Zurich_e131,Swiss agricultural chemical institute and seed control station
Zurich_e132,agricultural and forestry school
Zurich_e133,federal physics building
Zurich_e133,Swiss meteorological central institute
Zurich_e134,cantonal chemical laboratories of the University
Zurich_e135,new cantonal school building
Zurich_e135,old cantonal school on Rämistrasse
Zurich_e136,music conservatory in Florhofgasse
Zurich_e137,"Zurich, Switzerland"
Zurich_e138,"Badenerstrasse, Zurich, Switzerland"
Zurich_e139,"Hirschengraben, Zurich, Switzerland"
Zurich_e140,"Zurich, Switzerland"
Zurich_e141,"Stadttheater Zurich, Switzerland"
Zurich_e142,old theater at Untern Zäune
Zurich_e143,"Corso Theater, Zurich, Switzerland"
Zurich_e144,"Heimplatz, Zurich, Switzerland"
Zurich_e145,upper court
Zurich_e145,Obmann office (former Barefoot monastery)
Zurich_e145,cantonal administration
Zurich_e146,botanical garden
Zurich_e146,Bollwerk zur Katze
Zurich_e146,"Schanzengraben, Zurich, Switzerland"
Zurich_e147,"Zurich, Switzerland"
Zurich_e147,Peter tower
Zurich_e147,"Gemüsebrücke, Zurich, Switzerland"
Zurich_e147,"Right bank of Limmat river, Zurich, Switzerland"
Zurich_e148,"Zurich, Switzerland"
Zurich_e149,"Kirchgasse, Zurich, Switzerland"
Zurich_e149,"Schipfe, Zurich, Switzerland"
Zurich_e149,lower Zäune
Zurich_e149,"Augustinergasse, Zurich, Switzerland"
Zurich_e150,"Zurich, Switzerland"
Zurich_e151,"Zurich, Switzerland"
Zurich_e152,the city
Zurich_e153,the city
Zurich_e154,old town
Zurich_e155,Zwingli monument in front of the Wasserkirche
Zurich_e156,the city
Zurich_e157,the city
Zurich_e158,Kirchgasse
Zurich_e158,Rüdenplatz
Zurich_e158,Rindermarkt
Zurich_e158,Sihlstrasse
Zurich_e159,"Zurichberg, Zurich, Switzerland"
Zurich_e160,"Stadthausplatz, Zurich, Switzerland"
Zurich_e160,"Enge Park, Zurich, Switzerland"
Zurich_e161,"Zurichberg, Zurich, Switzerland"
Zurich_e162,"Zurich, Switzerland"
Zurich_e163,"ETH Zurich, Switzerland"
Zurich_e163,"Zurich, Switzerland"
Zurich_e164,"Zurich, Switzerland"
Zurich_e165,"Zurich, Switzerland"
Zurich_e166,"Zurich, Switzerland"
Zurich_e167,"University of Zurich, Switzerland"
Zurich_e168,"Zurich, Switzerland"
Zurich_e169,"Zurich, Switzerland"
Zurich_e170,other municipalities in the canton
Zurich_e171,other cantons
Zurich_e172,"Zurich, Switzerland"
Zurich_e173,"Zurich, Switzerland"
Zurich_e174,"Zurich, Switzerland"
Zurich_e175,"Zurich, Switzerland"
Zurich_e176,"Zurich, Switzerland"
Zurich_e177,"Zurich, Switzerland"
Zurich_e178,"Zurich, Switzerland"
Zurich_e179,"Zurich, Switzerland"
Zurich_e180,"Zurich, Switzerland"
Zurich_e181,residential population
Zurich_e182,residential population
Zurich_e188,"Canton of Zurich, Switzerland"
Zurich_e189,"Zurich, Switzerland"
Zurich_e190,"Zurich, Switzerland"
Zurich_e191,"Zurich, Switzerland"
Zurich_e192,"Zurich, Switzerland"
Zurich_e193,"Zurich, Switzerland"
Zurich_e194,Zurich
Zurich_e195,Zurich
Zurich_e196,Zurich
Zurich_e197,Zurich
Zurich_e198,Zurich
Zurich_e199,Zurich
Zurich_e200,Zurich
Zurich_e201,Zurich
Zurich_e202,Zurich
Zurich_e203,Zurich
Zurich_e205,District I
Zurich_e206,District I
Zurich_e213,"Zurich, Switzerland"
Zurich_e214,"Zurich, Switzerland"
Zurich_e215,"Zurich, Switzerland"
Zurich_e216,"Zurich, Switzerland"
Zurich_e217,"Zurich, Switzerland"
Zurich_e218,"Zurich, Switzerland"
Zurich_e219,"Zurich, Switzerland"
Zurich_e220,"Zurich, Switzerland"
Zurich_e221,"Zurich, Switzerland"
Zurich_e222,other Swiss locations
Zurich_e223,"Zurich, Switzerland"
Zurich_e224,"Zurich, Switzerland"
Zurich_e225,"Zurich, Switzerland"
Zurich_e226,"Zurich, Switzerland"
Zurich_e227,"Zurich, Switzerland"
Zurich_e228,"Zurich, Switzerland"
Zurich_e229,"Zurich, Switzerland"
Zurich_e230,inner city
Zurich_e231,outer districts
Zurich_e232,"Zurich, Switzerland"
Zurich_e233,"Zurich, Switzerland"
Zurich_e234,Zurich
Zurich_e235,Zurich
Zurich_e236,Zurich
Zurich_e237,Zurich
Zurich_e238,"Zurich, Switzerland"
Zurich_e239,"Zurich, Switzerland"
Zurich_e240,"Zurich, Switzerland"
Zurich_e241,"Zurich, Switzerland"
Zurich_e242,"Zurich, Switzerland"
Zurich_e243,"Zurich, Switzerland"
Zurich_e250,"Zurich, Switzerland"
Zurich_e252,"Zurich, Switzerland"
Zurich_e253,the surrounding towns
Zurich_e254,"Zurich, Switzerland"
Zurich_e254,"Old Town, Zurich, Switzerland"
Zurich_e259,house “zum Schwert”
Zurich_e259,"Hardturm Bridge, Zurich, Switzerland"
Zurich_e260,"Fraumünster, Zurich, Switzerland"
Zurich_e261,"Limmat River, Zurich, Switzerland"
Zurich_e261,mill piers
Zurich_e262,"Platzspitz, Zurich, Switzerland"
Zurich_e263,"Weinplatz, Zurich, Switzerland"
Zurich_e263,town hall
Zurich_e264,lower (vegetable) bridge
Zurich_e266,lake
Zurich_e267,lake
Zurich_e268,"Limmat River, Switzerland"
Zurich_e268,"Schanzengraben, Zurich, Switzerland"
Zurich_e269,"Limmat River, Switzerland"
Zurich_e269,"Schanzengraben, Zurich, Switzerland"
Zurich_e270,the lake
Zurich_e271,"Zurich, Switzerland"
Zurich_e271,the lake
Zurich_e271,"Limmat River, Zurich, Switzerland"
Zurich_e271,"Schanzengraben, Zurich, Switzerland"
Zurich_e272,"Zurich, Switzerland"
Zurich_e273,"Zurich, Switzerland"
Zurich_e274,the lake
Zurich_e275,"Zurich, Switzerland"
Zurich_e275,"Bürkliplatz, Zurich, Switzerland"
Zurich_e277,"Lindenhof, Zurich, Switzerland"
Zurich_e277,Winkelwies on the Geissberg
Zurich_e277,"Platzspitz, Zurich, Switzerland"
Zurich_e278,botanical garden
Zurich_e278,"Sihlhölzli, Zurich, Switzerland"
Zurich_e278,High Promenade
Zurich_e278,"Heimplatz, Zurich, Switzerland"
Zurich_e278,"Stadelhoferplatz, Zurich, Switzerland"
Zurich_e278,town hall facilities
Zurich_e278,large quays with the wonderful quay facilities
Zurich_e278,"Belvoirpark, Zurich, Switzerland"
Zurich_e278,"Quaibrücke, Zurich, Switzerland"
Zurich_e278,"Zurichhorn, Zurich, Switzerland"
Zurich_e282,"Limmatplatz, Zurich, Switzerland"
Zurich_e282,Rotwand area
Zurich_e285,"Zurichberg, Zurich, Switzerland"
Zurich_e285,"Uetliberg, Zurich, Switzerland"
Zurich_e286,"Uetliberg, Zurich, Switzerland"
Zurich_e286,Waldhüsli
Zurich_e286,Elephant
Zurich_e286,Grandmother Beech
Zurich_e286,Battle Memorial [1799]
Zurich_e286,"Sagentobel, Zurich, Switzerland"
Zurich_e286,Stöckentobel
Zurich_e286,Wehrenbach
Zurich_e286,Weidberg
Zurich_e287,"Uetliberg, Zurich, Switzerland"
Zurich_e288,Alps
Zurich_e288,"Uetliberg, Zurich, Switzerland"
Zurich_e288,"Säntis, Switzerland"
Zurich_e288,"Bernese Oberland, Switzerland"
Zurich_e289,"Zurich, Switzerland"
Zurich_e289,"Lake Zurich, Switzerland"
Zurich_e290,lakeside villages
Zurich_e290,"Sihl Valley, Zurich, Switzerland"
Zurich_e290,"Sihlwald, Zurich, Switzerland"
Zurich_e290,municipal game park
Zurich_e291,"Zurich, Switzerland"
Zurich_e292,"Zurich, Switzerland"
Zurich_e293,"Zurich, Switzerland"
Zurich_e294,"Zurich, Switzerland"
Zurich_e295,"Zurich, Switzerland"
Zurich_e295,"Limmat River, Zurich, Switzerland"
Zurich_e296,"Zurich, Switzerland"
Zurich_e297,"Zurich, Switzerland"
Zurich_e298,"Zurich, Switzerland"
Zurich_e298,Hardhüsligut
Zurich_e299,"Zurich, Switzerland"
Zurich_e300,"Zurich, Switzerland"
Zurich_e304,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e304,"Petersstrasse, Zurich, Switzerland"
Zurich_e304,"Münzplatz, Zurich, Switzerland"
Zurich_e304,"Uraniastrasse, Zurich, Switzerland"
Zurich_e304,"Sihlhofstrasse, Zurich, Switzerland"
Zurich_e304,"Usteristrasse, Zurich, Switzerland"
Zurich_e304,"Schweizergasse, Zurich, Switzerland"
Zurich_e304,"Lintheschergasse, Zurich, Switzerland"
Zurich_e304,"Schützengasse, Zurich, Switzerland"
Zurich_e304,"Rathausquai, Zurich, Switzerland"
Zurich_e304,"Rathausbrücke, Zurich, Switzerland"
Zurich_e304,"Hirschengraben, Zurich, Switzerland"
Zurich_e304,"Stauffacherstrasse, Zurich, Switzerland"
Zurich_e305,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e306,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e307,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e308,"Bahnhofstrasse, Zurich, Switzerland"
Zurich_e309,"Uraniastrasse, Zurich, Switzerland"
Zurich_e309,"Hirschengraben, Zurich, Switzerland"
Zurich_e310,"Hirschengraben, Zurich, Switzerland"
Zurich_e311,"Zurich, Switzerland"
Zurich_e312,"Zurich, Switzerland"
Zurich_e313,"Canton of Zurich, Switzerland"
Zurich_e314,"Zurich, Switzerland"
Zurich_e315,"Niederdorf, Zurich, Switzerland"
Zurich_e316,Zeughausstrasse 10
Zurich_e317,Seebahnstrasse 11
Zurich_e318,Konradstrasse 11
Zurich_e319,Zwinglistrasse 10
Zurich_e320,"Langstrasse, Zurich, Switzerland"
Zurich_e322,the 9 alcohol-free establishments of the Women’s Association for Temperance and Public Welfare
Zurich_e323,"Zurich, Switzerland"
Zurich_e324,"Zurich, Switzerland"
Zurich_e325,Nidelbad
Zurich_e325,Waid
Zurich_e326,"Zurich, Switzerland"
Zurich_e327,Rennweg
Zurich_e328,"Zurich, Switzerland"
Zurich_e328,the city district
Zurich_e329,"Limmat River, Zurich, Switzerland"
Zurich_e329,"Schipfe, Zurich, Switzerland"
Zurich_e329,"Schanzengraben, Zurich, Switzerland"
Zurich_e331,"Limmat River, Zurich, Switzerland"
Zurich_e331,the upper Mühlesteg
Zurich_e332,Polytechnic
Zurich_e332,Schmelzberg above the observatory
Zurich_e332,"Limmat River, Zurich, Switzerland"
Zurich_e332,pumping station
Zurich_e334,"Platzspitz, Zurich, Switzerland"
Zurich_e335,"Letten, Zurich, Switzerland"
Zurich_e336,"Limmat River, Zurich, Switzerland"
Zurich_e336,Drahtschmidli
Zurich_e338,Langensteinen (Oberstrass)
Zurich_e338,"ETH Zurich, Zurich, Switzerland"
Zurich_e339,"Zurichberg, Zurich, Switzerland"
Zurich_e339,"Lake Zurich, Switzerland"
Zurich_e340,"Zurich, Switzerland"
Zurich_e341,"Zurich, Switzerland"
Zurich_e342,"Limmat River, Switzerland"
Zurich_e343,"Zurich, Switzerland"
Zurich_e344,lake
Zurich_e345,"Zurich, Switzerland"
Zurich_e346,"Zurich, Switzerland"
Zurich_e347,"Zurich, Switzerland"
Zurich_e348,"Zurich, Switzerland"
Zurich_e349,"Zurich, Switzerland"
Zurich_e349,Sihl and Lorze springs
Zurich_e350,"Zurich, Switzerland"
Zurich_e351,"Sihl Valley, Lorze Valley, Sihlsprung, Menzingen, Zurich, Switzerland"
Zurich_e351,"Uetliberg, Zurich, Switzerland"
Zurich_e352,Nagelfluh plate
Zurich_e353,Sihl springs
Zurich_e354,Lorze springs
Zurich_e354,"Sihlbrugg, Switzerland"
Zurich_e355,"Sihl Valley, Switzerland"
Zurich_e355,"Albisgütli, Zurich, Switzerland"
Zurich_e356,"Albisgütli, Zurich, Switzerland"
Zurich_e357,"Zurich, Switzerland"
Zurich_e358,"Zurich, Switzerland"
Zurich_e358,the Sihl valley springs
Zurich_e359,"Zurich, Switzerland"
Zurich_e359,the Lorze valley
Zurich_e360,"Zurich, Switzerland"
Zurich_e360,lake water
Zurich_e361,"Zurich, Switzerland"
Zurich_e362,"Zurich, Switzerland"
Zurich_e363,"Zurich, Switzerland"
Zurich_e364,"Zurich, Switzerland"
Zurich_e364,"Letten, Zurich, Switzerland"
Zurich_e364,"Limmat River, Zurich, Switzerland"
Zurich_e367,"Zurich, Switzerland"
Zurich_e368,"Zurich, Switzerland"
Zurich_e369,"Zurich, Switzerland"
Zurich_e370,"Zurich, Switzerland"
Zurich_e371,"Zurich, Switzerland"
Zurich_e372,"Zurich, Switzerland"
Zurich_e373,"Zurich, Switzerland"
Zurich_e374,"Zurich, Switzerland"
Zurich_e375,"Zurich, Switzerland"
Zurich_e376,"Zurich, Switzerland"
Zurich_e377,"Zurich, Switzerland"
Zurich_e378,"Zurich, Switzerland"
Zurich_e379,"Zurich, Switzerland"
Zurich_e380,"Zurich, Switzerland"
Zurich_e381,"Zurich, Switzerland"
Zurich_e382,"Zurich, Switzerland"
Zurich_e383,"Zurich, Switzerland"
Zurich_e384,"Zurich, Switzerland"
Zurich_e385,"Zurich, Switzerland"
Zurich_e386,"Zurich, Switzerland"
Zurich_e387,"Zurich, Switzerland"
Zurich_e388,"Zurich, Switzerland"
Zurich_e389,"Zurich, Switzerland"
Zurich_e390,"Zurich, Switzerland"
Zurich_e391,"Zurich, Switzerland"
Zurich_e392,"Zurich, Switzerland"
Zurich_e393,"Zurich, Switzerland"
Zurich_e394,"Canton of Zurich, Switzerland"
Zurich_e395,"Canton of Zurich, Switzerland"
Zurich_e396,"Canton of Zurich, Switzerland"
Zurich_e397,"Canton of Zurich, Switzerland"
Zurich_e398,"Canton of Zurich, Switzerland"
Zurich_e399,"Canton of Zurich, Switzerland"
Zurich_e400,"Zurich, Switzerland"
Zurich_e401,"Zurich, Switzerland"
Zurich_e402,"Zurich, Switzerland"
Zurich_e403,cemetery on the High Promenade
Zurich_e404,District II
Zurich_e404,"Enge, Zurich, Switzerland"
Zurich_e404,"Manegg, Zurich, Switzerland"
Zurich_e404,"Leimbach, Zurich, Switzerland"
Zurich_e404,"Wollishofen, Zurich, Switzerland"
Zurich_e405,the former Neumünster cemetery
Zurich_e406,the central cemetery crematorium
Zurich_e407,"Zurich, Switzerland"
Zurich_e408,"Zurich, Switzerland"
Zurich_e408,"Wiedikon, Zurich, Switzerland"
